transaction_id,account_id,transaction_date,transaction_type,amount_eur,fee_eur,channel,is_international,is_flagged
T0000022,A000100,2025-08-10,Card Payment,53.76,1.48,Card,FALSE,FALSE
T0000023,A001819,2025-07-27,Card Payment,62.01,1.82,Card,FALSE,FALSE
T0000024,A000407,2025-07-11,Direct Debit,126.68,2.11,Card,FALSE,FALSE
T0000025,A001192,2025-09-28,Card Payment,7.45,1.55,Mobile App,FALSE,FALSE
T0000026,A000200,2025-06-10,Bank Transfer,3686.1,10.55,Mobile App,FALSE,FALSE
T0000027,A001480,2025-05-20,Bank Transfer,40967.73,103.4,Card,FALSE,FALSE
T0000028,A001982,2025-08-03,Investment Transfer,626.36,1.95,Mobile App,FALSE,FALSE
T0000029,A002013,2025-06-18,Loan Payment,4356.75,18.84,Online Banking,TRUE,FALSE
T0000030,A001857,2025-08-10,Direct Debit,100.69,2.44,Card,FALSE,FALSE
T0000031,A001160,2025-02-17,ATM Withdrawal,75.91,2.74,Online Banking,TRUE,FALSE
T0000032,A000715,2025-06-19,Direct Debit,131.86,0.25,Card,FALSE,FALSE
T0000033,A001816,2025-08-15,Bank Transfer,362.16,2.84,Card,FALSE,FALSE
T0000034,A001622,2025-09-16,Card Payment,144.96,0.43,Card,FALSE,FALSE
T0000035,A000575,2025-07-07,Card Payment,267.05,1.52,Online Banking,FALSE,FALSE
T0000036,A000259,2025-06-16,Direct Debit,608.24,0.92,Mobile App,FALSE,FALSE
T0000037,A000959,2025-09-06,Bank Transfer,4342.23,12.52,Mobile App,FALSE,FALSE
T0000038,A000704,2025-03-19,Bank Transfer,1906.36,10.87,ATM,TRUE,FALSE
T0000039,A000889,2025-09-20,Card Payment,166.57,1.72,Card,FALSE,FALSE
T0000040,A001013,2025-10-25,Bank Transfer,272.45,1.91,Mobile App,FALSE,FALSE
T0000041,A001224,2025-10-22,Bank Transfer,4911.82,25.63,Mobile App,TRUE,FALSE
T0000042,A000977,2025-11-02,Card Payment,110.54,2.62,Mobile App,FALSE,FALSE
T0000043,A001379,2025-08-02,Direct Debit,223.94,0.36,Card,FALSE,FALSE
T0000044,A001165,2025-08-08,ATM Withdrawal,445.38,2.04,Online Banking,FALSE,FALSE
T0000045,A002024,2025-06-24,Bank Transfer,1308.02,3.7,Mobile App,FALSE,FALSE
T0000046,A000768,2025-08-04,Card Payment,143.96,0.45,Mobile App,FALSE,FALSE
T0000047,A000200,2025-01-02,Card Payment,284.61,1.12,Mobile App,FALSE,FALSE
T0000048,A001048,2025-11-13,Loan Payment,5461.09,10.38,Mobile App,FALSE,FALSE
T0000049,A002116,2025-02-09,Loan Payment,1247.65,3.58,Mobile App,FALSE,FALSE
T0000050,A000842,2025-08-19,Direct Debit,60.03,2.41,Branch,FALSE,FALSE
T0000051,A002278,2025-01-17,Investment Transfer,19253.45,49.8,Online Banking,FALSE,FALSE
T0000052,A000482,2025-10-20,Card Payment,186.57,2.55,Mobile App,FALSE,TRUE
T0000053,A001938,2025-06-19,Card Payment,81.1,0.79,Online Banking,FALSE,FALSE
T0000054,A001829,2025-05-28,Bank Transfer,1459.53,4.31,Mobile App,FALSE,FALSE
T0000055,A001997,2025-07-23,Card Payment,121.48,1.55,Card,FALSE,FALSE
T0000056,A001158,2025-06-20,Card Payment,8.88,2.13,Card,FALSE,FALSE
T0000057,A001231,2025-02-10,Card Payment,141.8,2.67,Online Banking,FALSE,FALSE
T0000058,A000773,2025-07-17,ATM Withdrawal,110.48,2.2,Online Banking,FALSE,FALSE
T0000059,A000281,2025-11-20,Card Payment,146.0,1.29,ATM,FALSE,FALSE
T0000060,A000557,2025-01-23,Direct Debit,108.52,2.92,Online Banking,TRUE,FALSE
T0000061,A001256,2025-11-24,Bank Transfer,694.23,5.42,Mobile App,TRUE,FALSE
T0000062,A001720,2025-05-18,Bank Transfer,2289.84,7.4,Branch,FALSE,FALSE
T0000063,A001279,2025-04-13,ATM Withdrawal,128.11,3.0,Mobile App,TRUE,FALSE
T0000064,A001848,2025-01-18,Bank Transfer,3632.13,11.42,Card,FALSE,FALSE
T0000065,A002048,2025-08-30,Direct Debit,141.92,2.28,ATM,TRUE,FALSE
T0000066,A001750,2025-03-13,Bank Transfer,309.69,2.38,Mobile App,FALSE,FALSE
T0000067,A001589,2025-12-30,Card Payment,318.84,2.02,Online Banking,FALSE,FALSE
T0000068,A001881,2025-06-04,ATM Withdrawal,124.58,2.77,Card,FALSE,FALSE
T0000069,A001289,2025-03-19,Direct Debit,119.9,1.5,Mobile App,FALSE,FALSE
T0000070,A001391,2025-09-11,Salary Payment,7201.37,28.88,Branch,TRUE,FALSE
T0000071,A002125,2025-07-08,Card Payment,39.69,1.05,Mobile App,FALSE,FALSE
T0000072,A001545,2025-09-14,Bank Transfer,984.31,3.45,ATM,FALSE,TRUE
T0000073,A000561,2025-10-02,Card Payment,444.91,2.37,Mobile App,FALSE,FALSE
T0000074,A000636,2025-09-29,Card Payment,71.9,1.54,Online Banking,FALSE,FALSE
T0000075,A002312,2025-10-25,Investment Transfer,13165.65,33.16,Mobile App,FALSE,FALSE
T0000076,A000322,2025-09-18,Bank Transfer,2198.96,5.57,Online Banking,FALSE,FALSE
T0000077,A001392,2025-04-14,Bank Transfer,1574.51,5.03,Mobile App,FALSE,FALSE
T0000078,A000163,2025-07-08,Bank Transfer,716.47,3.41,Mobile App,FALSE,FALSE
T0000079,A001267,2025-04-21,Card Payment,303.78,1.3,Mobile App,FALSE,FALSE
T0000080,A000428,2025-09-09,ATM Withdrawal,51.9,2.04,Online Banking,FALSE,FALSE
T0000081,A001799,2025-04-06,Direct Debit,188.97,0.38,Branch,FALSE,FALSE
T0000082,A000922,2025-07-29,Loan Payment,8849.2,14.5,Mobile App,FALSE,FALSE
T0000083,A001958,2025-09-05,Direct Debit,43.99,2.37,Online Banking,FALSE,FALSE
T0000084,A000561,2025-09-03,Card Payment,89.91,0.2,Mobile App,FALSE,FALSE
T0000085,A000184,2025-03-20,Bank Transfer,4072.4,10.85,Mobile App,FALSE,FALSE
T0000086,A001617,2025-02-03,Card Payment,22.51,0.06,Card,FALSE,FALSE
T0000087,A000849,2025-07-26,Card Payment,85.34,1.4,Mobile App,FALSE,FALSE
T0000088,A001812,2025-06-22,Card Payment,44.73,1.63,Mobile App,TRUE,FALSE
T0000089,A001094,2025-12-01,Bank Transfer,10798.12,27.86,Online Banking,FALSE,FALSE
T0000090,A000375,2025-07-31,Bank Transfer,25256.6,63.86,Online Banking,FALSE,FALSE
T0000091,A001121,2025-07-30,Card Payment,216.76,2.32,Card,FALSE,FALSE
T0000092,A002039,2025-05-10,Bank Transfer,5830.55,15.3,Card,FALSE,FALSE
T0000093,A000148,2025-06-02,Investment Transfer,821.81,5.07,Mobile App,TRUE,FALSE
T0000094,A001573,2025-10-29,Bank Transfer,5634.77,14.59,Online Banking,FALSE,FALSE
T0000095,A000585,2025-10-29,Card Payment,78.27,2.01,Online Banking,FALSE,FALSE
T0000096,A001066,2025-10-11,ATM Withdrawal,162.13,0.76,Branch,FALSE,FALSE
T0000097,A001566,2025-06-14,ATM Withdrawal,78.0,0.84,Mobile App,TRUE,FALSE
T0000098,A001556,2025-12-29,Bank Transfer,516.86,3.83,Mobile App,TRUE,FALSE
T0000099,A000323,2025-08-24,Card Payment,465.69,3.1,Online Banking,FALSE,FALSE
T0000100,A000981,2025-03-28,Card Payment,55.75,0.25,ATM,FALSE,FALSE
T0000101,A002094,2025-11-06,Card Payment,74.96,0.38,Card,FALSE,FALSE
T0000102,A001269,2025-12-20,ATM Withdrawal,408.03,1.79,Card,FALSE,FALSE
T0000103,A001191,2025-12-04,Investment Transfer,10667.72,26.85,Branch,FALSE,FALSE
T0000104,A000535,2025-06-06,Bank Transfer,234.82,3.0,Mobile App,FALSE,FALSE
T0000105,A001242,2025-02-13,Bank Transfer,3391.11,10.51,Online Banking,FALSE,FALSE
T0000106,A001230,2025-06-09,Investment Transfer,3543.61,9.69,Mobile App,FALSE,FALSE
T0000107,A002182,2025-10-21,Bank Transfer,2242.85,7.01,ATM,FALSE,FALSE
T0000108,A000072,2025-05-19,Bank Transfer,1431.76,4.41,Online Banking,FALSE,FALSE
T0000109,A000675,2025-06-12,Card Payment,95.29,0.89,Mobile App,FALSE,FALSE
T0000110,A000931,2025-04-08,Bank Transfer,985.61,2.77,Mobile App,FALSE,FALSE
T0000111,A000839,2025-07-17,Card Payment,4.89,0.6,Online Banking,FALSE,FALSE
T0000112,A001475,2025-07-31,Card Payment,298.84,2.77,Mobile App,FALSE,FALSE
T0000113,A001850,2025-06-07,Loan Payment,227.19,0.76,Mobile App,FALSE,FALSE
T0000114,A001963,2025-12-13,ATM Withdrawal,87.62,1.54,Mobile App,FALSE,FALSE
T0000115,A000700,2025-08-22,Card Payment,278.22,0.98,Mobile App,FALSE,FALSE
T0000116,A001499,2025-11-28,Bank Transfer,1986.04,7.23,Card,FALSE,FALSE
T0000117,A000596,2025-09-13,Bank Transfer,1081.17,4.07,Online Banking,FALSE,FALSE
T0000118,A000667,2025-05-06,Card Payment,25.95,0.61,Online Banking,FALSE,FALSE
T0000119,A002054,2025-04-18,Bank Transfer,236.73,2.63,Card,FALSE,FALSE
T0000120,A001829,2025-08-10,Bank Transfer,1552.25,5.6,Mobile App,FALSE,FALSE
T0000121,A000844,2025-12-26,Card Payment,500.06,2.2,Online Banking,FALSE,TRUE
T0000122,A001639,2025-06-03,Salary Payment,1298.73,2.86,Mobile App,FALSE,FALSE
T0000123,A000227,2025-06-10,ATM Withdrawal,114.69,2.43,Card,FALSE,FALSE
T0000124,A000041,2025-08-10,Card Payment,106.93,2.15,Branch,FALSE,FALSE
T0000125,A000438,2025-07-11,Bank Transfer,2278.47,6.78,Mobile App,FALSE,FALSE
T0000126,A001732,2025-12-30,Card Payment,71.08,2.47,Mobile App,FALSE,FALSE
T0000127,A001004,2025-12-23,Bank Transfer,1670.38,4.68,Branch,FALSE,FALSE
T0000128,A002206,2025-12-17,Card Payment,106.75,1.4,Mobile App,FALSE,FALSE
T0000129,A001047,2025-11-04,Bank Transfer,1323.01,4.39,Mobile App,FALSE,FALSE
T0000130,A001376,2025-01-02,Direct Debit,39.67,0.73,Online Banking,FALSE,FALSE
T0000131,A001877,2025-07-27,Bank Transfer,2415.27,6.53,ATM,FALSE,FALSE
T0000132,A000617,2025-08-15,Bank Transfer,376.29,2.73,Mobile App,FALSE,FALSE
T0000133,A001773,2025-05-26,Direct Debit,272.46,0.85,Mobile App,FALSE,FALSE
T0000134,A000868,2025-07-25,Bank Transfer,1007.26,2.98,ATM,FALSE,FALSE
T0000135,A001075,2025-04-16,ATM Withdrawal,240.5,1.2,Mobile App,FALSE,FALSE
T0000136,A001552,2025-10-18,Card Payment,61.26,0.14,Online Banking,FALSE,FALSE
T0000137,A002243,2025-04-18,Card Payment,70.84,0.87,Card,FALSE,FALSE
T0000138,A000268,2025-12-19,Salary Payment,14197.27,22.11,Branch,FALSE,FALSE
T0000139,A000400,2025-08-02,Card Payment,806.16,3.17,ATM,FALSE,FALSE
T0000140,A001330,2025-01-27,Bank Transfer,10726.23,28.59,ATM,FALSE,FALSE
T0000141,A000440,2025-03-30,Salary Payment,11631.91,17.63,Online Banking,FALSE,FALSE
T0000142,A002211,2025-06-24,Card Payment,113.46,1.14,Card,FALSE,FALSE
T0000143,A001098,2025-01-25,Card Payment,24.7,1.69,Mobile App,FALSE,FALSE
T0000144,A001765,2025-05-05,Card Payment,112.79,2.92,Online Banking,TRUE,FALSE
T0000145,A001659,2025-07-21,Salary Payment,2322.02,5.3,Mobile App,FALSE,FALSE
T0000146,A001964,2025-08-12,Card Payment,44.0,1.42,Mobile App,FALSE,FALSE
T0000147,A001301,2025-11-13,Bank Transfer,2328.29,7.57,Branch,FALSE,FALSE
T0000148,A000976,2025-10-31,Card Payment,35.76,1.65,Mobile App,FALSE,FALSE
T0000149,A000258,2025-05-31,Card Payment,23.39,0.23,Card,FALSE,FALSE
T0000150,A000491,2025-01-18,Card Payment,70.85,0.74,Mobile App,FALSE,FALSE
T0000151,A001103,2025-08-14,Loan Payment,6773.61,12.36,Card,FALSE,FALSE
T0000152,A000200,2025-03-07,Card Payment,185.05,0.87,Mobile App,TRUE,FALSE
T0000153,A001920,2025-04-27,Direct Debit,179.61,2.19,Mobile App,FALSE,FALSE
T0000154,A001533,2025-12-16,Loan Payment,814.25,1.49,Mobile App,FALSE,FALSE
T0000155,A001597,2025-01-05,Bank Transfer,961.02,3.37,Card,FALSE,FALSE
T0000156,A000994,2025-01-15,Card Payment,62.73,0.62,Online Banking,FALSE,FALSE
T0000157,A002015,2025-12-26,Card Payment,271.37,3.03,Mobile App,TRUE,FALSE
T0000158,A002250,2025-07-17,ATM Withdrawal,15.36,2.34,Card,FALSE,FALSE
T0000159,A002230,2025-07-12,ATM Withdrawal,439.36,3.35,Mobile App,FALSE,FALSE
T0000160,A000115,2025-09-21,ATM Withdrawal,1029.0,4.67,Mobile App,FALSE,FALSE
T0000161,A000689,2025-11-26,Card Payment,466.82,1.43,Online Banking,FALSE,FALSE
T0000162,A001598,2025-02-21,Card Payment,4.02,2.5,Card,FALSE,FALSE
T0000163,A002232,2025-12-29,Card Payment,49.53,0.18,Online Banking,FALSE,FALSE
T0000164,A001328,2025-08-30,Card Payment,29.16,1.79,Mobile App,FALSE,FALSE
T0000165,A000677,2025-09-28,ATM Withdrawal,444.7,1.45,Online Banking,FALSE,FALSE
T0000166,A001998,2025-01-30,Salary Payment,23728.2,37.1,Branch,FALSE,FALSE
T0000167,A000480,2025-08-15,Bank Transfer,1987.92,5.75,Branch,FALSE,FALSE
T0000168,A001162,2025-02-09,Loan Payment,1535.0,3.17,Online Banking,FALSE,FALSE
T0000169,A000040,2025-05-02,Card Payment,1891.58,3.27,Card,FALSE,FALSE
T0000170,A001821,2025-11-02,ATM Withdrawal,57.29,1.64,Mobile App,FALSE,FALSE
T0000171,A002143,2025-02-10,Loan Payment,846.71,3.75,Mobile App,FALSE,FALSE
T0000172,A000807,2025-05-02,Loan Payment,4233.51,6.48,Card,FALSE,FALSE
T0000173,A001176,2025-03-10,Card Payment,117.56,1.57,Card,FALSE,FALSE
T0000174,A002115,2025-04-06,Card Payment,136.6,2.0,Mobile App,FALSE,FALSE
T0000175,A001825,2025-07-02,Direct Debit,275.95,0.98,Online Banking,FALSE,FALSE
T0000176,A001152,2025-10-28,Bank Transfer,2853.99,9.25,Card,FALSE,FALSE
T0000177,A001896,2025-04-23,Investment Transfer,1044.25,4.5,Mobile App,FALSE,FALSE
T0000178,A000462,2025-03-05,Card Payment,31.1,0.22,Online Banking,FALSE,FALSE
T0000179,A001165,2025-06-23,Salary Payment,7756.52,13.94,Mobile App,FALSE,FALSE
T0000180,A000167,2025-03-30,Loan Payment,999.34,3.58,Online Banking,FALSE,FALSE
T0000181,A001862,2025-04-07,Card Payment,8.99,0.82,Card,FALSE,FALSE
T0000182,A000867,2025-03-30,Bank Transfer,408.43,1.48,Card,FALSE,FALSE
T0000183,A001697,2025-05-31,ATM Withdrawal,194.53,2.09,Mobile App,FALSE,FALSE
T0000184,A000069,2025-07-21,Loan Payment,5299.54,10.42,Card,FALSE,FALSE
T0000185,A000668,2025-08-05,Direct Debit,318.12,0.7,Card,FALSE,FALSE
T0000186,A000128,2025-11-19,ATM Withdrawal,2151.59,6.04,Mobile App,FALSE,FALSE
T0000187,A001855,2025-11-08,Loan Payment,670.11,1.17,Branch,FALSE,FALSE
T0000188,A000490,2025-03-22,Direct Debit,128.84,0.3,Card,FALSE,FALSE
T0000189,A001785,2025-01-11,Bank Transfer,3947.01,11.3,Online Banking,FALSE,FALSE
T0000190,A001451,2025-01-07,Direct Debit,19.49,2.19,Mobile App,FALSE,FALSE
T0000191,A002324,2025-11-27,Card Payment,93.43,2.54,Online Banking,FALSE,FALSE
T0000192,A001475,2025-08-26,Direct Debit,105.31,1.24,ATM,FALSE,FALSE
T0000193,A001638,2025-05-01,Card Payment,85.98,2.24,Mobile App,FALSE,FALSE
T0000194,A000536,2025-10-04,Loan Payment,2848.84,5.57,Card,FALSE,FALSE
T0000195,A000606,2025-01-17,Bank Transfer,1994.15,6.02,Mobile App,FALSE,FALSE
T0000196,A000204,2025-05-25,Card Payment,85.46,2.59,Online Banking,FALSE,FALSE
T0000197,A001942,2025-10-07,Card Payment,20.0,0.34,Mobile App,FALSE,FALSE
T0000198,A001624,2025-10-17,Direct Debit,336.64,0.76,Card,FALSE,TRUE
T0000199,A000073,2025-02-04,ATM Withdrawal,98.74,0.9,ATM,FALSE,FALSE
T0000200,A002010,2025-11-10,Investment Transfer,7360.91,37.56,Mobile App,TRUE,FALSE
T0000201,A000839,2025-12-26,Loan Payment,473.81,0.77,Online Banking,FALSE,FALSE
T0000202,A000832,2025-10-23,Salary Payment,3631.07,6.58,Mobile App,FALSE,FALSE
T0000203,A001705,2025-10-03,Direct Debit,226.33,2.34,Mobile App,FALSE,FALSE
T0000204,A001563,2025-12-23,Investment Transfer,1417.36,3.85,Mobile App,FALSE,FALSE
T0000205,A000680,2025-04-15,Bank Transfer,8592.9,23.52,Mobile App,FALSE,FALSE
T0000206,A001819,2025-04-24,ATM Withdrawal,595.12,1.9,Mobile App,FALSE,FALSE
T0000207,A001845,2025-01-21,Card Payment,91.86,2.44,Mobile App,FALSE,FALSE
T0000208,A000445,2025-11-15,Direct Debit,4.47,0.63,Card,FALSE,FALSE
T0000209,A001208,2025-07-30,Bank Transfer,735.15,2.85,ATM,FALSE,FALSE
T0000210,A000143,2025-08-19,Card Payment,11.61,1.7,Card,FALSE,FALSE
T0000211,A000560,2025-07-02,Card Payment,107.18,2.38,Mobile App,FALSE,FALSE
T0000212,A000976,2025-08-14,Salary Payment,2563.08,5.45,Online Banking,FALSE,FALSE
T0000213,A002305,2025-06-26,Card Payment,184.87,2.03,Mobile App,FALSE,FALSE
T0000214,A000199,2025-09-26,Bank Transfer,2513.97,13.17,Mobile App,TRUE,FALSE
T0000215,A000208,2025-10-27,Card Payment,162.55,1.26,Online Banking,FALSE,FALSE
T0000216,A000227,2025-10-10,Direct Debit,47.03,0.77,Mobile App,FALSE,FALSE
T0000217,A002275,2025-07-12,Loan Payment,306.38,2.52,Online Banking,FALSE,FALSE
T0000218,A001189,2025-12-06,Loan Payment,950.6,2.5,Online Banking,FALSE,FALSE
T0000219,A000266,2025-05-01,ATM Withdrawal,57.91,0.79,Mobile App,FALSE,TRUE
T0000220,A001777,2025-03-20,ATM Withdrawal,393.43,1.28,Mobile App,FALSE,FALSE
T0000221,A000295,2025-06-10,Bank Transfer,659.03,3.33,Card,TRUE,FALSE
T0000222,A000126,2025-01-12,Loan Payment,1087.51,2.01,Mobile App,FALSE,FALSE
T0000223,A001795,2025-02-18,Card Payment,82.0,2.02,ATM,FALSE,FALSE
T0000224,A002113,2025-04-14,Bank Transfer,1438.33,3.88,Card,FALSE,TRUE
T0000225,A001725,2025-09-06,Salary Payment,18103.84,27.82,Mobile App,FALSE,FALSE
T0000226,A000190,2025-03-12,Bank Transfer,11229.03,29.77,Mobile App,FALSE,FALSE
T0000227,A001915,2025-12-22,Loan Payment,470.36,0.83,Online Banking,FALSE,FALSE
T0000228,A000635,2025-02-12,ATM Withdrawal,1537.69,4.08,Mobile App,FALSE,FALSE
T0000229,A000775,2025-06-09,ATM Withdrawal,141.29,0.78,Mobile App,FALSE,TRUE
T0000230,A000750,2025-01-14,Card Payment,171.59,1.7,Mobile App,TRUE,FALSE
T0000231,A000080,2025-04-18,Direct Debit,38.21,1.04,Card,FALSE,FALSE
T0000232,A002038,2025-02-22,Card Payment,39.98,0.45,ATM,FALSE,FALSE
T0000233,A001035,2025-08-14,Bank Transfer,1362.3,5.13,Online Banking,FALSE,FALSE
T0000234,A001029,2025-09-19,Salary Payment,6539.38,10.98,Mobile App,FALSE,FALSE
T0000235,A001060,2025-11-11,ATM Withdrawal,531.01,2.65,Mobile App,FALSE,FALSE
T0000236,A001237,2025-02-04,Bank Transfer,5191.45,15.45,Card,FALSE,FALSE
T0000237,A001378,2025-07-31,ATM Withdrawal,1221.52,3.94,Mobile App,FALSE,FALSE
T0000238,A000633,2025-05-17,Direct Debit,137.34,0.94,Online Banking,FALSE,FALSE
T0000239,A000019,2025-10-20,Card Payment,28.38,2.3,Mobile App,FALSE,FALSE
T0000240,A001781,2025-10-25,Direct Debit,379.72,1.52,Online Banking,FALSE,FALSE
T0000241,A000521,2025-12-25,Bank Transfer,2703.1,14.21,Mobile App,TRUE,FALSE
T0000242,A000864,2025-10-26,Direct Debit,205.59,1.27,Mobile App,TRUE,FALSE
T0000243,A001416,2025-08-04,Card Payment,19.74,1.66,Card,FALSE,TRUE
T0000244,A000460,2025-02-14,Bank Transfer,1137.54,3.57,Mobile App,FALSE,FALSE
T0000245,A000740,2025-12-06,Direct Debit,190.06,1.66,Mobile App,FALSE,FALSE
T0000246,A001720,2025-02-09,Bank Transfer,21185.66,107.35,Online Banking,TRUE,FALSE
T0000247,A002071,2025-01-13,Card Payment,296.3,2.11,Mobile App,FALSE,FALSE
T0000248,A001914,2025-08-03,Card Payment,148.09,0.4,Mobile App,FALSE,FALSE
T0000249,A001847,2025-04-19,Bank Transfer,11161.63,29.02,Online Banking,FALSE,FALSE
T0000250,A000229,2025-01-16,Card Payment,64.37,1.75,Card,FALSE,FALSE
T0000251,A000634,2025-10-22,Card Payment,880.88,2.01,Online Banking,FALSE,FALSE
T0000252,A000113,2025-05-12,Bank Transfer,1016.52,2.62,Online Banking,FALSE,FALSE
T0000253,A001847,2025-11-20,Salary Payment,12167.38,19.8,Branch,FALSE,FALSE
T0000254,A001611,2025-08-16,Card Payment,13.3,1.56,Card,FALSE,FALSE
T0000255,A002175,2025-05-30,Bank Transfer,1352.76,5.74,Online Banking,FALSE,FALSE
T0000256,A001645,2025-07-03,ATM Withdrawal,407.56,1.04,Mobile App,FALSE,FALSE
T0000257,A002244,2025-05-09,Bank Transfer,1589.46,9.25,Mobile App,TRUE,FALSE
T0000258,A000218,2025-05-06,Card Payment,157.82,1.0,Card,FALSE,FALSE
T0000259,A001550,2025-01-14,Card Payment,42.3,1.13,Online Banking,TRUE,FALSE
T0000260,A001140,2025-02-28,Card Payment,57.28,0.88,Card,FALSE,FALSE
T0000261,A001492,2025-10-11,Direct Debit,126.41,2.5,Card,FALSE,FALSE
T0000262,A000535,2025-09-10,Salary Payment,1297.3,2.13,Card,FALSE,FALSE
T0000263,A000883,2025-02-11,Salary Payment,21333.42,32.84,Mobile App,FALSE,FALSE
T0000264,A001939,2025-10-15,Salary Payment,4255.64,8.63,Mobile App,FALSE,FALSE
T0000265,A000417,2025-04-08,ATM Withdrawal,42.78,1.39,Mobile App,FALSE,FALSE
T0000266,A000483,2025-08-31,Card Payment,211.61,2.43,Card,FALSE,FALSE
T0000267,A001157,2025-08-25,Investment Transfer,1344.37,4.6,Mobile App,FALSE,FALSE
T0000268,A001914,2025-08-09,Bank Transfer,2828.53,7.77,Online Banking,FALSE,FALSE
T0000269,A000613,2025-04-27,Card Payment,28.01,1.01,Online Banking,FALSE,FALSE
T0000270,A000695,2025-05-28,ATM Withdrawal,128.3,0.38,Mobile App,FALSE,FALSE
T0000271,A000700,2025-10-27,Card Payment,79.15,1.57,Online Banking,FALSE,FALSE
T0000272,A001002,2025-08-22,Card Payment,37.36,0.59,ATM,FALSE,FALSE
T0000273,A001133,2025-03-14,Bank Transfer,170.52,1.84,Branch,FALSE,FALSE
T0000274,A001563,2025-07-24,Loan Payment,1168.27,2.07,Online Banking,FALSE,FALSE
T0000275,A000435,2025-10-18,ATM Withdrawal,12.35,1.89,Mobile App,FALSE,FALSE
T0000276,A001616,2025-09-07,Direct Debit,62.68,2.16,Online Banking,TRUE,FALSE
T0000277,A000783,2025-12-23,Card Payment,21.42,1.46,Online Banking,FALSE,FALSE
T0000278,A001929,2025-05-17,Card Payment,138.83,1.12,ATM,FALSE,FALSE
T0000279,A000603,2025-03-20,Direct Debit,350.04,1.28,Mobile App,FALSE,FALSE
T0000280,A000614,2025-03-14,Card Payment,232.26,2.3,Mobile App,TRUE,TRUE
T0000281,A000983,2025-11-11,Card Payment,22.66,1.54,Mobile App,FALSE,FALSE
T0000282,A000617,2025-11-28,Card Payment,32.3,2.39,Mobile App,FALSE,FALSE
T0000283,A001998,2025-12-20,Card Payment,477.52,2.13,ATM,FALSE,FALSE
T0000284,A001231,2025-01-20,Card Payment,73.51,0.13,ATM,FALSE,FALSE
T0000285,A000003,2025-11-29,Salary Payment,3353.7,6.96,Mobile App,FALSE,FALSE
T0000286,A001109,2025-07-18,Bank Transfer,315031.68,788.52,Online Banking,FALSE,FALSE
T0000287,A002211,2025-06-23,Card Payment,141.01,2.25,Online Banking,FALSE,FALSE
T0000288,A001802,2025-01-05,Card Payment,16.42,0.85,Mobile App,FALSE,FALSE
T0000289,A001954,2025-05-06,Investment Transfer,1516.54,6.18,Online Banking,FALSE,FALSE
T0000290,A000279,2025-06-26,ATM Withdrawal,97.31,1.98,Mobile App,TRUE,FALSE
T0000291,A001427,2025-10-11,Salary Payment,2188.43,4.81,Mobile App,FALSE,FALSE
T0000292,A001073,2025-09-10,Direct Debit,216.45,1.12,Mobile App,FALSE,FALSE
T0000293,A001003,2025-05-18,Investment Transfer,5678.49,14.46,Online Banking,FALSE,FALSE
T0000294,A000589,2025-07-16,Card Payment,173.36,3.14,Card,TRUE,FALSE
T0000295,A001357,2025-09-10,Bank Transfer,1197.32,4.32,Branch,FALSE,FALSE
T0000296,A002342,2025-06-24,Card Payment,38.65,2.53,ATM,FALSE,FALSE
T0000297,A000533,2025-11-26,Card Payment,203.61,0.54,Mobile App,FALSE,FALSE
