customer_id,customer_name,age,gender,country,city,customer_segment,risk_level,onboarding_date
C00061,Customer 00061,35,Male,Estonia,Tallinn,Premium,Low,2016-11-14
C00062,Customer 00062,54,Male,Finland,Tampere,Premium,Low,2022-03-20
C00063,Customer 00063,26,Female,Finland,Oulu,Retail,Low,2023-03-02
C00064,Customer 00064,59,Female,Finland,Vaasa,Retail,Medium,2022-06-06
C00065,Customer 00065,57,Female,Finland,Oulu,Retail,Medium,2021-02-13
C00066,Customer 00066,42,Female,Finland,Helsinki,SME,Low,2023-10-19
C00067,Customer 00067,49,Female,Estonia,Tallinn,Premium,Low,2015-08-13
C00068,Customer 00068,40,Male,Finland,Jyväskylä,Retail,Low,2018-04-01
C00069,Customer 00069,28,Female,Finland,Kuopio,Student,Medium,2022-01-28
C00070,Customer 00070,47,Female,Finland,Oulu,Retail,Low,2023-05-15
C00071,Customer 00071,59,Female,Finland,Kuopio,Retail,Low,2015-08-22
C00072,Customer 00072,50,Male,Finland,Turku,Corporate,Low,2015-10-27
C00073,Customer 00073,68,Male,Finland,Kuopio,Premium,Low,2021-04-19
C00074,Customer 00074,30,Female,Estonia,Tallinn,Premium,Low,2023-06-09
C00075,Customer 00075,72,Male,Finland,Kuopio,Retail,Low,2019-02-08
C00076,Customer 00076,32,Male,Finland,Espoo,Retail,Low,2017-02-10
C00077,Customer 00077,25,Male,Finland,Jyväskylä,Student,Low,2023-01-24
C00078,Customer 00078,40,Female,Estonia,Tallinn,Retail,High,2020-11-18
C00079,Customer 00079,64,Female,Finland,Helsinki,Corporate,Medium,2019-07-28
C00080,Customer 00080,61,Female,Finland,Jyväskylä,Retail,Medium,2018-01-28
C00081,Customer 00081,53,Female,Finland,Helsinki,Premium,Medium,2019-09-16
C00082,Customer 00082,51,Male,Finland,Espoo,Premium,Medium,2019-02-14
C00083,Customer 00083,26,Male,Finland,Espoo,Student,Low,2020-12-04
C00084,Customer 00084,65,Female,Finland,Turku,SME,Low,2020-07-20
C00085,Customer 00085,41,Female,Finland,Helsinki,Corporate,Medium,2015-05-11
C00086,Customer 00086,38,Female,Finland,Kuopio,SME,High,2019-05-07
C00087,Customer 00087,71,Male,Finland,Jyväskylä,Retail,Low,2020-02-25
C00088,Customer 00088,64,Female,Estonia,Tallinn,Retail,Low,2022-09-01
C00089,Customer 00089,19,Male,Finland,Vaasa,Student,Low,2015-04-01
C00090,Customer 00090,68,Female,Finland,Espoo,Retail,Medium,2023-11-04
C00091,Customer 00091,52,Other/Not specified,Sweden,Stockholm,Retail,Low,2024-04-29
C00092,Customer 00092,53,Male,Estonia,Tallinn,Retail,Low,2017-11-15
C00093,Customer 00093,33,Male,Finland,Kuopio,SME,Low,2016-03-05
C00094,Customer 00094,41,Male,Finland,Kuopio,Retail,Low,2015-05-02
C00095,Customer 00095,25,Male,Finland,Tampere,Student,Low,2024-03-24
C00096,Customer 00096,41,Female,Estonia,Tallinn,Retail,Medium,2015-04-26
C00097,Customer 00097,66,Female,Finland,Oulu,Retail,Low,2023-11-18
C00098,Customer 00098,31,Male,Finland,Espoo,Premium,Medium,2022-09-16
C00099,Customer 00099,60,Male,Finland,Kuopio,SME,High,2022-01-13
C00100,Customer 00100,63,Male,Finland,Oulu,Retail,Medium,2021-12-17
C00101,Customer 00101,23,Female,Finland,Vaasa,Student,Medium,2020-06-06
C00102,Customer 00102,42,Male,Finland,Turku,Retail,High,2024-03-05
C00103,Customer 00103,56,Male,Finland,Vaasa,Retail,Low,2015-04-22
C00104,Customer 00104,41,Male,Finland,Oulu,Corporate,Medium,2020-12-25
C00105,Customer 00105,31,Male,Sweden,Stockholm,Premium,Low,2015-11-04
C00106,Customer 00106,55,Male,Finland,Jyväskylä,Retail,Low,2018-09-21
C00107,Customer 00107,34,Female,Finland,Espoo,SME,Medium,2022-09-05
C00108,Customer 00108,57,Male,Finland,Espoo,SME,Medium,2015-03-28
C00109,Customer 00109,32,Female,Finland,Jyväskylä,Retail,Medium,2020-06-13
C00110,Customer 00110,30,Male,Estonia,Tallinn,Retail,Low,2023-04-21
C00111,Customer 00111,25,Male,Sweden,Stockholm,Retail,Low,2017-06-16
C00112,Customer 00112,76,Male,Sweden,Stockholm,Premium,Low,2018-11-12
C00113,Customer 00113,18,Female,Finland,Tampere,Student,Low,2022-06-02
C00114,Customer 00114,55,Female,Finland,Kuopio,SME,Low,2018-03-07
C00115,Customer 00115,48,Male,Finland,Oulu,Premium,Low,2023-10-22
C00116,Customer 00116,35,Male,Finland,Oulu,Retail,Low,2021-09-22
C00117,Customer 00117,64,Male,Finland,Oulu,SME,High,2020-08-14
C00118,Customer 00118,49,Male,Finland,Turku,Retail,Low,2019-05-17
C00119,Customer 00119,72,Female,Finland,Helsinki,Premium,Low,2018-06-30
C00120,Customer 00120,66,Male,Finland,Tampere,Corporate,Medium,2023-03-11
C00121,Customer 00121,55,Male,Finland,Vaasa,Premium,Low,2015-06-24
C00122,Customer 00122,64,Male,Finland,Vaasa,SME,Medium,2024-05-08
C00123,Customer 00123,34,Female,Finland,Oulu,Retail,Low,2024-03-16
C00124,Customer 00124,69,Female,Finland,Kuopio,Retail,Low,2021-01-08
C00125,Customer 00125,39,Female,Estonia,Tallinn,SME,High,2024-07-21
C00126,Customer 00126,37,Female,Finland,Kuopio,Premium,Low,2021-08-20
C00127,Customer 00127,44,Male,Estonia,Tallinn,Retail,Low,2018-09-20
C00128,Customer 00128,51,Female,Finland,Vaasa,Corporate,High,2017-11-06
C00129,Customer 00129,21,Male,Sweden,Stockholm,Student,Low,2017-03-13
C00130,Customer 00130,44,Male,Finland,Tampere,Retail,High,2023-03-10
C00131,Customer 00131,36,Male,Estonia,Tallinn,Corporate,High,2020-07-28
C00132,Customer 00132,48,Male,Finland,Jyväskylä,Retail,Low,2019-09-07
C00133,Customer 00133,50,Female,Finland,Turku,Retail,Low,2019-07-14
C00134,Customer 00134,37,Female,Finland,Tampere,Corporate,Medium,2019-02-21
C00135,Customer 00135,45,Female,Finland,Turku,Premium,Low,2018-05-26
C00136,Customer 00136,69,Male,Finland,Kuopio,Retail,Low,2015-02-26
C00137,Customer 00137,30,Male,Sweden,Stockholm,Retail,Low,2022-10-03
C00138,Customer 00138,71,Female,Finland,Kuopio,Retail,Medium,2024-05-03
C00139,Customer 00139,59,Male,Finland,Vaasa,Retail,Low,2023-08-20
C00140,Customer 00140,32,Female,Sweden,Stockholm,Premium,Low,2015-06-22
C00141,Customer 00141,47,Male,Finland,Helsinki,Corporate,Low,2015-04-18
C00142,Customer 00142,67,Male,Finland,Kuopio,Retail,Low,2019-08-27
C00143,Customer 00143,68,Female,Finland,Oulu,Retail,Low,2017-03-06
C00144,Customer 00144,19,Male,Finland,Espoo,Student,Low,2020-12-05
C00145,Customer 00145,41,Male,Finland,Vaasa,Retail,Low,2015-12-15
C00146,Customer 00146,22,Female,Finland,Jyväskylä,Student,High,2021-09-16
C00147,Customer 00147,74,Male,Estonia,Tallinn,Premium,Low,2015-05-04
C00148,Customer 00148,38,Female,Finland,Tampere,Retail,Medium,2019-02-10
C00149,Customer 00149,48,Female,Finland,Oulu,Corporate,Medium,2015-06-21
C00150,Customer 00150,58,Female,Finland,Helsinki,SME,Low,2015-09-18
C00151,Customer 00151,19,Male,Finland,Espoo,Student,Low,2021-03-20
C00152,Customer 00152,18,Male,Finland,Vaasa,Student,Low,2021-02-04
C00153,Customer 00153,74,Male,Finland,Espoo,Retail,Low,2020-12-28
C00154,Customer 00154,27,Male,Finland,Jyväskylä,Retail,Low,2017-01-16
C00155,Customer 00155,53,Male,Finland,Espoo,SME,Low,2019-10-26
C00156,Customer 00156,39,Female,Finland,Helsinki,Premium,Low,2015-12-31
C00157,Customer 00157,36,Female,Finland,Espoo,Corporate,Low,2019-08-01
C00158,Customer 00158,73,Female,Finland,Tampere,Premium,Low,2022-12-19
C00159,Customer 00159,73,Male,Finland,Turku,Retail,Low,2015-03-23
C00160,Customer 00160,26,Female,Finland,Kuopio,Student,Low,2016-08-19
C00161,Customer 00161,55,Female,Finland,Jyväskylä,Retail,Low,2015-07-02
C00162,Customer 00162,57,Male,Finland,Kuopio,SME,Low,2017-03-26
C00163,Customer 00163,70,Female,Sweden,Stockholm,Retail,Low,2017-05-30
C00164,Customer 00164,23,Male,Finland,Vaasa,Student,Low,2022-04-23
C00165,Customer 00165,50,Female,Finland,Helsinki,Retail,Low,2024-06-11
C00166,Customer 00166,74,Female,Finland,Helsinki,Premium,Low,2021-08-13
C00167,Customer 00167,22,Male,Finland,Helsinki,Student,Low,2016-09-17
C00168,Customer 00168,57,Other/Not specified,Sweden,Stockholm,Retail,Low,2019-09-20
C00169,Customer 00169,31,Male,Sweden,Stockholm,Retail,Low,2024-05-26
C00170,Customer 00170,58,Male,Finland,Jyväskylä,SME,Medium,2016-10-17
C00171,Customer 00171,55,Male,Finland,Tampere,Retail,Low,2022-12-16
C00172,Customer 00172,58,Male,Sweden,Stockholm,Premium,Low,2021-04-17
C00173,Customer 00173,57,Female,Finland,Jyväskylä,Premium,Low,2024-02-04
C00174,Customer 00174,26,Female,Finland,Tampere,Student,Low,2018-09-11
C00175,Customer 00175,36,Male,Finland,Tampere,Retail,Medium,2017-12-17
C00176,Customer 00176,42,Other/Not specified,Finland,Turku,SME,Medium,2021-07-07
C00177,Customer 00177,72,Male,Finland,Oulu,Premium,Low,2021-12-20
C00178,Customer 00178,56,Female,Finland,Oulu,Premium,Low,2018-07-05
C00179,Customer 00179,49,Female,Finland,Helsinki,SME,Medium,2022-09-28
C00180,Customer 00180,34,Male,Finland,Kuopio,Retail,Low,2018-02-28
C00181,Customer 00181,29,Female,Finland,Espoo,Student,Low,2018-09-03
C00182,Customer 00182,24,Male,Finland,Espoo,Student,Low,2015-08-10
C00183,Customer 00183,73,Male,Finland,Oulu,Retail,High,2016-02-13
C00184,Customer 00184,41,Female,Finland,Kuopio,Premium,Low,2018-07-23
C00185,Customer 00185,44,Female,Finland,Turku,Premium,Low,2019-02-09
C00186,Customer 00186,58,Male,Finland,Vaasa,SME,Low,2024-07-10
C00187,Customer 00187,32,Female,Estonia,Tallinn,Retail,Low,2017-08-06
C00188,Customer 00188,54,Male,Finland,Espoo,SME,Low,2020-09-26
C00189,Customer 00189,56,Male,Finland,Vaasa,Retail,Medium,2019-06-04
C00190,Customer 00190,34,Female,Finland,Vaasa,Retail,Low,2018-08-24
C00191,Customer 00191,65,Male,Finland,Turku,Retail,Low,2017-02-27
C00192,Customer 00192,43,Female,Finland,Tampere,Retail,Low,2019-01-09
C00193,Customer 00193,49,Female,Finland,Turku,Retail,Medium,2017-09-22
C00194,Customer 00194,56,Male,Finland,Helsinki,Retail,Low,2019-05-07
C00195,Customer 00195,61,Male,Estonia,Tallinn,Retail,Medium,2016-12-08
C00196,Customer 00196,64,Male,Finland,Jyväskylä,Corporate,High,2023-11-07
C00197,Customer 00197,26,Female,Finland,Turku,Student,High,2022-08-05
C00198,Customer 00198,46,Male,Finland,Helsinki,Retail,Low,2019-08-12
C00199,Customer 00199,68,Female,Finland,Turku,SME,Medium,2023-06-03
C00200,Customer 00200,26,Male,Finland,Espoo,Student,Low,2023-01-17
C00201,Customer 00201,71,Male,Finland,Espoo,Retail,Medium,2017-11-29
C00202,Customer 00202,35,Female,Finland,Jyväskylä,Retail,Medium,2015-10-03
C00203,Customer 00203,43,Male,Finland,Jyväskylä,Premium,Low,2022-04-02
C00204,Customer 00204,43,Female,Finland,Turku,Premium,Low,2023-12-22
C00205,Customer 00205,51,Male,Finland,Jyväskylä,SME,Medium,2023-02-14
C00206,Customer 00206,71,Female,Finland,Kuopio,Retail,Medium,2015-03-18
C00207,Customer 00207,70,Female,Finland,Jyväskylä,Retail,Low,2018-11-18
C00208,Customer 00208,20,Male,Finland,Kuopio,Student,Low,2022-07-30
C00209,Customer 00209,22,Female,Estonia,Tallinn,Student,Low,2016-09-19
C00210,Customer 00210,53,Female,Sweden,Stockholm,Retail,Low,2016-10-13
C00211,Customer 00211,27,Female,Finland,Tampere,Student,Medium,2020-02-25
C00212,Customer 00212,60,Male,Finland,Espoo,Corporate,High,2016-05-07
C00213,Customer 00213,56,Male,Finland,Helsinki,Retail,High,2017-09-14
C00214,Customer 00214,67,Male,Finland,Espoo,Premium,Low,2024-08-17
C00215,Customer 00215,64,Female,Finland,Helsinki,Corporate,High,2019-04-10
C00216,Customer 00216,44,Female,Finland,Helsinki,Premium,Low,2020-03-12
C00217,Customer 00217,32,Female,Finland,Kuopio,SME,Low,2017-04-04
C00218,Customer 00218,25,Male,Finland,Oulu,Retail,Low,2015-02-14
C00219,Customer 00219,65,Male,Finland,Jyväskylä,SME,Medium,2019-10-10
C00220,Customer 00220,27,Female,Finland,Helsinki,Retail,Low,2015-05-14
C00221,Customer 00221,52,Other/Not specified,Finland,Vaasa,Premium,Low,2024-09-09
C00222,Customer 00222,62,Female,Sweden,Stockholm,Premium,Low,2020-12-08
C00223,Customer 00223,33,Female,Finland,Oulu,SME,Medium,2017-12-12
C00224,Customer 00224,18,Female,Estonia,Tallinn,Student,Medium,2020-06-08
C00225,Customer 00225,58,Female,Finland,Oulu,Retail,High,2016-09-05
C00226,Customer 00226,21,Male,Sweden,Stockholm,Student,Low,2020-09-24
C00227,Customer 00227,29,Female,Finland,Jyväskylä,SME,Medium,2017-08-25
C00228,Customer 00228,34,Female,Sweden,Stockholm,Retail,High,2016-08-21
C00229,Customer 00229,38,Female,Finland,Tampere,Corporate,Low,2016-02-11
C00230,Customer 00230,68,Male,Finland,Jyväskylä,Corporate,Low,2022-04-02
C00231,Customer 00231,33,Male,Estonia,Tallinn,Corporate,Low,2024-01-28
C00232,Customer 00232,27,Male,Finland,Jyväskylä,Student,Low,2020-06-10
C00233,Customer 00233,72,Male,Finland,Kuopio,Premium,Low,2023-01-16
C00234,Customer 00234,61,Male,Estonia,Tallinn,Premium,Low,2022-08-23
C00235,Customer 00235,50,Male,Finland,Helsinki,Retail,Low,2017-06-06
C00236,Customer 00236,68,Male,Finland,Oulu,SME,Medium,2019-02-19
C00237,Customer 00237,42,Female,Sweden,Stockholm,Retail,High,2016-10-19
C00238,Customer 00238,32,Female,Finland,Turku,Premium,Low,2021-06-30
C00239,Customer 00239,60,Male,Finland,Jyväskylä,Corporate,Medium,2024-05-29
C00240,Customer 00240,56,Female,Sweden,Stockholm,Retail,Medium,2016-02-29
C00241,Customer 00241,50,Female,Estonia,Tallinn,SME,Medium,2016-01-29
C00242,Customer 00242,69,Female,Finland,Kuopio,Corporate,Low,2023-10-13
C00243,Customer 00243,46,Female,Finland,Oulu,Corporate,Low,2020-05-09
C00244,Customer 00244,63,Male,Finland,Helsinki,Retail,Medium,2021-10-07
C00245,Customer 00245,26,Female,Finland,Espoo,Retail,Low,2020-12-18
C00246,Customer 00246,43,Male,Finland,Kuopio,SME,Medium,2023-12-26
C00247,Customer 00247,29,Female,Finland,Vaasa,Retail,Low,2020-04-03
C00248,Customer 00248,29,Female,Finland,Tampere,Student,Medium,2023-10-02
C00249,Customer 00249,69,Male,Finland,Jyväskylä,Premium,Low,2021-12-24
C00250,Customer 00250,32,Male,Estonia,Tallinn,Retail,Low,2022-02-14
C00251,Customer 00251,57,Female,Finland,Helsinki,SME,Low,2019-02-08
C00252,Customer 00252,43,Male,Finland,Espoo,Retail,Low,2019-08-05
C00253,Customer 00253,32,Female,Finland,Jyväskylä,SME,High,2019-09-01
C00254,Customer 00254,63,Female,Finland,Espoo,Premium,Low,2021-11-29
C00255,Customer 00255,57,Female,Finland,Jyväskylä,Premium,Low,2016-01-16
C00256,Customer 00256,66,Female,Finland,Tampere,SME,Low,2019-12-19
C00257,Customer 00257,68,Female,Sweden,Stockholm,Retail,Low,2017-07-18
C00258,Customer 00258,24,Male,Estonia,Tallinn,Student,Low,2022-06-27
C00259,Customer 00259,32,Female,Finland,Espoo,Corporate,Medium,2022-01-25
C00260,Customer 00260,37,Female,Estonia,Tallinn,Premium,Low,2016-05-24
C00261,Customer 00261,25,Male,Finland,Oulu,Student,Low,2015-03-01
C00262,Customer 00262,28,Male,Finland,Espoo,SME,High,2020-06-22
C00263,Customer 00263,68,Male,Finland,Tampere,Retail,Low,2022-03-23
C00264,Customer 00264,43,Female,Finland,Vaasa,SME,Low,2022-10-20
C00265,Customer 00265,42,Female,Finland,Helsinki,Retail,Medium,2022-07-15
C00266,Customer 00266,50,Male,Finland,Jyväskylä,Retail,Low,2020-02-29
C00267,Customer 00267,64,Female,Sweden,Stockholm,Retail,Low,2015-07-31
C00268,Customer 00268,52,Female,Finland,Vaasa,Retail,Low,2021-04-13
C00269,Customer 00269,33,Male,Finland,Tampere,Premium,Low,2015-10-05
C00270,Customer 00270,28,Male,Finland,Jyväskylä,Student,High,2024-06-18
C00271,Customer 00271,71,Male,Estonia,Tallinn,Retail,Medium,2022-10-29
C00272,Customer 00272,33,Female,Estonia,Tallinn,SME,Medium,2017-05-17
C00273,Customer 00273,29,Male,Finland,Vaasa,SME,High,2019-11-18
C00274,Customer 00274,59,Male,Finland,Helsinki,Premium,Low,2020-04-22
C00275,Customer 00275,52,Male,Finland,Helsinki,Retail,Medium,2015-03-20
C00276,Customer 00276,24,Female,Finland,Helsinki,Student,Medium,2022-03-07
C00277,Customer 00277,20,Male,Finland,Vaasa,Student,Low,2024-03-21
C00278,Customer 00278,26,Male,Finland,Kuopio,Student,Low,2021-02-23
C00279,Customer 00279,48,Male,Finland,Vaasa,Retail,Medium,2015-08-08
C00280,Customer 00280,25,Female,Finland,Vaasa,Retail,Medium,2016-10-07
C00281,Customer 00281,69,Male,Finland,Oulu,Retail,Low,2019-08-28
C00282,Customer 00282,38,Male,Finland,Oulu,SME,Low,2019-11-21
C00283,Customer 00283,72,Male,Finland,Jyväskylä,Premium,Low,2015-09-14
C00284,Customer 00284,32,Male,Finland,Kuopio,Premium,High,2017-06-26
C00285,Customer 00285,30,Male,Finland,Tampere,SME,Medium,2018-10-13
C00286,Customer 00286,51,Male,Finland,Oulu,Retail,Low,2022-04-24
C00287,Customer 00287,73,Male,Finland,Helsinki,Premium,Low,2019-04-08
C00288,Customer 00288,44,Female,Finland,Jyväskylä,Premium,Low,2020-02-23
C00289,Customer 00289,66,Female,Finland,Kuopio,Premium,Medium,2020-03-31
C00290,Customer 00290,62,Female,Finland,Vaasa,Premium,Low,2019-06-16
C00291,Customer 00291,29,Male,Finland,Turku,Retail,Medium,2020-05-02
C00292,Customer 00292,28,Male,Sweden,Stockholm,Retail,Low,2016-01-05
C00293,Customer 00293,57,Female,Finland,Helsinki,Retail,Low,2018-11-25
C00294,Customer 00294,51,Male,Finland,Espoo,Retail,Low,2017-05-19
C00295,Customer 00295,23,Male,Finland,Kuopio,Student,Low,2020-06-23
C00296,Customer 00296,55,Male,Sweden,Stockholm,Retail,Low,2021-10-10
C00297,Customer 00297,45,Female,Finland,Tampere,Retail,Low,2022-05-29
C00298,Customer 00298,70,Male,Finland,Oulu,Premium,Low,2019-02-14
C00299,Customer 00299,71,Female,Finland,Oulu,Premium,Low,2015-05-30
C00300,Customer 00300,36,Male,Estonia,Tallinn,Premium,Medium,2019-08-25
C00301,Customer 00301,56,Female,Finland,Oulu,Retail,Low,2016-04-01
C00302,Customer 00302,50,Female,Finland,Tampere,Retail,Low,2018-08-28
C00303,Customer 00303,56,Male,Finland,Tampere,Retail,Medium,2023-11-13
C00304,Customer 00304,45,Female,Finland,Espoo,Retail,High,2015-06-07
C00305,Customer 00305,59,Female,Estonia,Tallinn,SME,Low,2024-05-28
C00306,Customer 00306,39,Male,Finland,Vaasa,Premium,Low,2019-10-22
C00307,Customer 00307,19,Female,Finland,Vaasa,Student,Low,2018-10-03
C00308,Customer 00308,74,Female,Estonia,Tallinn,Retail,Low,2019-06-05
C00309,Customer 00309,57,Female,Finland,Turku,Retail,Low,2021-03-10
C00310,Customer 00310,40,Male,Finland,Oulu,Retail,Low,2020-06-10
C00311,Customer 00311,21,Female,Finland,Tampere,Student,Low,2020-12-31
C00312,Customer 00312,65,Male,Finland,Tampere,SME,Medium,2023-01-16
C00313,Customer 00313,39,Male,Finland,Kuopio,Retail,Low,2023-03-30
C00314,Customer 00314,69,Male,Finland,Oulu,Retail,Low,2024-09-14
C00315,Customer 00315,62,Other/Not specified,Finland,Kuopio,SME,High,2023-01-13
C00316,Customer 00316,44,Female,Sweden,Stockholm,Premium,Medium,2018-07-25
C00317,Customer 00317,50,Female,Finland,Vaasa,SME,High,2018-08-02
C00318,Customer 00318,78,Male,Finland,Espoo,Premium,Low,2018-08-04
C00319,Customer 00319,61,Female,Finland,Turku,Retail,Low,2024-10-01
C00320,Customer 00320,34,Male,Finland,Kuopio,Premium,Low,2022-09-07
C00321,Customer 00321,44,Male,Finland,Vaasa,Retail,Medium,2019-04-21
C00322,Customer 00322,31,Female,Finland,Turku,Premium,Low,2019-06-14
C00323,Customer 00323,50,Male,Estonia,Tallinn,Retail,Medium,2024-10-16
C00324,Customer 00324,18,Female,Finland,Turku,Student,Low,2018-01-30
C00325,Customer 00325,67,Female,Finland,Helsinki,Premium,Low,2015-08-23
C00326,Customer 00326,65,Male,Sweden,Stockholm,Corporate,High,2024-01-20
C00327,Customer 00327,54,Male,Finland,Helsinki,SME,Medium,2024-02-10
C00328,Customer 00328,44,Female,Finland,Jyväskylä,SME,Low,2020-06-06
C00329,Customer 00329,50,Male,Estonia,Tallinn,Premium,Medium,2021-01-15
C00330,Customer 00330,60,Male,Estonia,Tallinn,Premium,Low,2022-03-28
C00331,Customer 00331,57,Female,Finland,Oulu,Retail,Low,2020-09-12
C00332,Customer 00332,54,Female,Finland,Jyväskylä,Premium,Medium,2015-07-04
C00333,Customer 00333,68,Male,Finland,Kuopio,Corporate,Medium,2019-03-21
C00334,Customer 00334,31,Female,Finland,Helsinki,Retail,Low,2023-10-31
C00335,Customer 00335,58,Male,Sweden,Stockholm,Retail,Low,2020-01-31
C00336,Customer 00336,39,Other/Not specified,Finland,Turku,Retail,Low,2024-08-26
C00337,Customer 00337,69,Female,Estonia,Tallinn,Premium,Low,2024-04-22
C00338,Customer 00338,28,Male,Finland,Oulu,Student,Low,2015-11-05
C00339,Customer 00339,52,Male,Finland,Espoo,Retail,Low,2023-02-26
C00340,Customer 00340,52,Female,Finland,Vaasa,Retail,High,2017-02-15
C00341,Customer 00341,26,Male,Finland,Turku,Retail,Low,2023-08-10
C00342,Customer 00342,36,Male,Finland,Espoo,Retail,Medium,2021-07-11
C00343,Customer 00343,49,Female,Finland,Oulu,Retail,Low,2019-09-27
C00344,Customer 00344,36,Female,Estonia,Tallinn,Premium,Low,2015-06-21
C00345,Customer 00345,28,Female,Finland,Turku,Student,Low,2020-04-21
C00346,Customer 00346,53,Female,Finland,Espoo,SME,Low,2017-08-13
C00347,Customer 00347,57,Male,Finland,Vaasa,SME,High,2017-09-01
