account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
A000075,C00044,B009,Investment Account,2023-11-26,8282.55,Active
A000076,C00045,B009,Investment Account,2024-03-10,1729.2,Active
A000077,C00046,B003,Current Account,2017-08-08,9287.39,Active
A000078,C00047,B008,Investment Account,2018-12-11,0,Active
A000079,C00047,B001,Savings Account,2021-04-18,35510.29,Active
A000080,C00048,B009,Savings Account,2024-08-15,2632.3,Active
A000081,C00049,B008,Savings Account,2024-09-16,1608.71,Active
A000082,C00050,B010,Current Account,2016-11-08,730.51,Dormant
A000083,C00050,B001,Savings Account,2021-02-10,3272.12,Active
A000084,C00051,B003,Current Account,2016-05-19,6757.31,Active
A000085,C00051,B010,Current Account,2022-03-10,17322.76,Active
A000086,C00052,B004,Business Account,2016-04-10,7521.68,Active
A000087,C00053,B006,Investment Account,2021-03-09,4339.58,Active
A000088,C00054,B005,Savings Account,2024-02-21,36436.7,Active
A000089,C00054,B009,Current Account,2023-08-27,35772.37,Active
A000090,C00054,B006,Investment Account,2022-12-01,30233.34,Active
A000091,C00055,B002,Current Account,2021-05-23,2301.93,Active
A000092,C00056,B006,Current Account,2017-02-23,230686.27,Active
A000093,C00056,B001,Current Account,2022-06-20,151979.45,Active
A000094,C00056,B006,Savings Account,2022-01-06,273940.99,Active
A000095,C00057,B002,Current Account,2021-06-06,6017.02,Active
A000096,C00058,B002,Investment Account,2020-02-23,566.37,Active
A000097,C00059,B007,Current Account,2017-09-02,2171.28,Active
A000098,C00060,B001,Current Account,2017-02-08,36570.47,Active
A000099,C00061,B001,Current Account,2019-06-19,10072.52,Active
A000100,C00062,B005,Investment Account,2017-04-15,46296.99,Active
A000101,C00062,B003,Business Account,2018-02-26,13290.82,Active
A000102,C00063,B005,Investment Account,2019-12-28,6226.78,Active
A000103,C00064,B001,Investment Account,2020-08-02,304.75,Active
A000104,C00065,B002,Current Account,2018-02-13,6709.49,Dormant
A000105,C00066,B009,Investment Account,2021-02-09,0,Active
A000106,C00067,B005,Current Account,2023-07-26,22374.91,Active
A000107,C00067,B005,Current Account,2024-08-23,45904.77,Active
A000108,C00068,B005,Savings Account,2023-09-04,8664.39,Active
A000109,C00069,B010,Savings Account,2017-10-12,2459.66,Active
A000110,C00069,B002,Business Account,2017-11-15,79.99,Dormant
A000111,C00070,B001,Current Account,2023-11-26,6487.6,Active
A000112,C00071,B005,Savings Account,2023-04-07,9651.28,Dormant
A000113,C00071,B005,Savings Account,2024-01-13,2398.48,Dormant
A000114,C00072,B003,Business Account,2021-02-27,245241.65,Active
A000115,C00072,B009,Savings Account,2019-10-24,54994.72,Active
A000116,C00072,B004,Savings Account,2022-11-04,68283.99,Active
A000117,C00072,B009,Savings Account,2020-02-09,0,Active
A000118,C00073,B001,Savings Account,2018-03-11,37880.22,Active
A000119,C00073,B008,Savings Account,2016-12-26,0,Active
A000120,C00073,B004,Current Account,2021-07-22,14286.9,Active
A000121,C00074,B006,Current Account,2023-10-06,29308.93,Active
A000122,C00074,B006,Business Account,2017-11-10,13471.44,Active
A000123,C00075,B007,Savings Account,2023-01-03,8198.15,Active
A000124,C00076,B007,Business Account,2019-09-27,11836.5,Active
A000125,C00077,B005,Current Account,2024-04-02,1672.29,Active
A000126,C00078,B003,Current Account,2018-02-04,6153.31,Active
A000127,C00079,B004,Current Account,2020-03-13,137466.39,Active
A000128,C00079,B010,Business Account,2020-02-29,172977.28,Active
A000129,C00079,B004,Savings Account,2019-04-07,120596.3,Active
A000130,C00080,B006,Savings Account,2020-07-27,9845.48,Active
A000131,C00081,B009,Current Account,2020-09-18,18778.65,Active
A000132,C00081,B003,Current Account,2016-12-21,28012.16,Active
A000133,C00082,B007,Investment Account,2017-09-30,12986.74,Active
A000134,C00082,B005,Savings Account,2016-11-20,73219.9,Active
A000135,C00083,B003,Business Account,2020-06-02,124.81,Active
A000136,C00084,B008,Current Account,2023-02-06,59977.34,Dormant
A000137,C00084,B003,Current Account,2019-04-08,31138.92,Active
A000138,C00085,B003,Savings Account,2016-11-01,78492.27,Active
A000139,C00085,B008,Current Account,2020-12-31,159883.24,Active
A000140,C00086,B008,Savings Account,2019-05-10,7899.07,Active
A000141,C00086,B008,Current Account,2016-08-16,67212.0,Active
A000142,C00086,B001,Savings Account,2018-03-30,39249.09,Active
A000143,C00087,B010,Savings Account,2021-06-25,8443.39,Active
A000144,C00088,B006,Investment Account,2016-05-12,5647.14,Active
A000145,C00089,B005,Current Account,2016-12-21,1185.68,Active
A000146,C00090,B004,Savings Account,2024-09-17,17233.07,Active
A000147,C00091,B006,Investment Account,2017-03-23,4552.1,Active
A000148,C00091,B008,Current Account,2024-05-06,2905.01,Active
A000149,C00092,B005,Current Account,2021-02-06,203.24,Active
A000150,C00093,B006,Current Account,2020-06-11,81762.12,Active
A000151,C00093,B002,Savings Account,2020-08-17,52068.38,Active
A000152,C00093,B003,Business Account,2022-03-14,68671.81,Active
A000153,C00094,B005,Investment Account,2017-07-21,4558.01,Active
A000154,C00094,B001,Current Account,2021-01-08,4248.26,Active
A000155,C00095,B004,Investment Account,2019-11-19,1989.84,Active
A000156,C00096,B003,Savings Account,2018-05-30,2378.28,Active
A000157,C00097,B001,Savings Account,2021-09-24,3826.19,Active
A000158,C00098,B003,Business Account,2016-09-05,22045.9,Active
A000159,C00099,B010,Current Account,2019-01-10,42817.26,Active
A000160,C00099,B008,Savings Account,2024-12-19,55703.16,Active
A000161,C00100,B010,Investment Account,2019-10-04,920.65,Active
A000162,C00100,B002,Investment Account,2019-02-25,9726.82,Active
A000163,C00101,B008,Savings Account,2019-09-29,1589.9,Active
A000164,C00101,B001,Current Account,2016-12-06,2765.33,Dormant
A000165,C00102,B007,Current Account,2024-08-12,5188.16,Active
A000166,C00102,B009,Business Account,2022-05-29,0,Active
A000167,C00103,B001,Investment Account,2017-04-10,6641.55,Active
A000168,C00104,B006,Savings Account,2019-08-06,164964.86,Active
A000169,C00104,B005,Savings Account,2021-09-08,106158.68,Active
A000170,C00104,B001,Current Account,2019-11-24,93414.47,Closed
A000171,C00105,B001,Savings Account,2022-01-23,16147.69,Active
A000172,C00105,B006,Savings Account,2022-09-14,35484.14,Active
A000173,C00106,B003,Savings Account,2019-10-19,4711.57,Active
A000174,C00107,B006,Savings Account,2018-06-08,10477.23,Active
A000175,C00107,B008,Business Account,2016-04-17,84622.81,Active
A000176,C00107,B010,Current Account,2019-12-13,44111.72,Active
A000177,C00108,B010,Current Account,2016-10-09,46830.26,Dormant
A000178,C00108,B007,Current Account,2017-10-03,16905.33,Active
A000179,C00108,B006,Current Account,2021-03-17,0,Active
A000180,C00109,B001,Savings Account,2017-12-24,3390.49,Active
A000181,C00110,B003,Current Account,2023-12-10,0,Active
A000182,C00111,B004,Savings Account,2023-11-01,8145.54,Active
A000183,C00111,B003,Current Account,2022-07-02,3482.93,Active
A000184,C00112,B009,Current Account,2022-12-12,48179.35,Active
A000185,C00113,B002,Savings Account,2022-07-15,2482.29,Active
A000186,C00114,B005,Business Account,2023-02-16,8476.7,Active
A000187,C00115,B001,Current Account,2018-12-18,32427.14,Active
A000188,C00116,B005,Investment Account,2019-04-06,9063.23,Active
A000189,C00116,B008,Current Account,2018-05-13,8383.04,Active
A000190,C00117,B010,Savings Account,2023-05-10,40675.19,Active
A000191,C00117,B010,Current Account,2019-12-14,71663.75,Active
A000192,C00118,B008,Current Account,2018-03-23,2711.5,Active
A000193,C00118,B009,Savings Account,2020-12-15,8671.29,Dormant
A000194,C00119,B006,Current Account,2022-07-19,13102.91,Active
A000195,C00120,B008,Current Account,2020-05-31,208977.39,Active
A000196,C00120,B006,Investment Account,2018-02-19,163388.06,Active
A000197,C00120,B002,Savings Account,2020-04-22,113313.36,Active
A000198,C00121,B008,Business Account,2019-08-05,24112.26,Active
A000199,C00121,B006,Business Account,2020-12-17,14048.75,Active
A000200,C00121,B009,Current Account,2023-01-11,17428.34,Active
A000201,C00122,B007,Current Account,2017-07-09,25392.48,Active
A000202,C00123,B006,Current Account,2019-01-20,6982.02,Active
A000203,C00123,B008,Savings Account,2023-04-19,7764.91,Active
A000204,C00124,B008,Savings Account,2019-11-24,4752.21,Active
A000205,C00124,B005,Savings Account,2017-02-12,3846.04,Active
A000206,C00125,B009,Business Account,2021-06-20,43347.96,Active
A000207,C00125,B004,Current Account,2017-12-09,52204.01,Active
A000208,C00126,B004,Business Account,2019-01-08,48205.42,Active
A000209,C00127,B009,Savings Account,2020-02-23,0,Active
A000210,C00128,B004,Investment Account,2024-05-22,231783.4,Active
A000211,C00128,B006,Current Account,2024-07-31,121091.21,Active
A000212,C00128,B010,Current Account,2021-07-08,94263.1,Active
A000213,C00129,B007,Investment Account,2023-11-21,2355.04,Active
A000214,C00130,B004,Savings Account,2019-08-13,1058.96,Active
A000215,C00131,B001,Business Account,2017-05-18,365750.55,Active
A000216,C00131,B008,Business Account,2017-07-08,60489.99,Active
A000217,C00131,B002,Savings Account,2019-03-11,0,Active
A000218,C00131,B006,Savings Account,2021-09-15,61658.34,Active
A000219,C00132,B008,Current Account,2020-03-29,11111.45,Dormant
A000220,C00133,B001,Current Account,2024-11-25,1753.27,Active
A000221,C00134,B001,Savings Account,2022-02-01,181979.55,Active
A000222,C00134,B009,Savings Account,2024-01-24,150442.35,Active
A000223,C00134,B003,Business Account,2024-08-05,20902.76,Closed
A000224,C00135,B003,Savings Account,2023-12-16,22214.15,Active
A000225,C00135,B007,Savings Account,2018-04-27,18107.5,Active
A000226,C00136,B001,Current Account,2017-04-10,2917.84,Active
A000227,C00137,B005,Current Account,2019-04-16,7837.98,Active
A000228,C00138,B008,Current Account,2024-01-06,0,Active
A000229,C00139,B007,Savings Account,2017-04-27,1479.8,Active
A000230,C00140,B010,Current Account,2023-09-07,39215.7,Active
A000231,C00140,B007,Investment Account,2021-10-22,43491.84,Active
A000232,C00140,B005,Investment Account,2024-07-23,39062.79,Active
A000233,C00141,B010,Current Account,2024-01-02,32471.25,Active
A000234,C00142,B002,Investment Account,2019-10-15,0,Active
A000235,C00143,B002,Savings Account,2024-04-27,340.72,Active
A000236,C00143,B001,Current Account,2023-01-29,8072.23,Active
A000237,C00144,B009,Investment Account,2024-01-16,1241.79,Active
A000238,C00144,B009,Current Account,2018-12-11,2396.22,Active
A000239,C00145,B001,Investment Account,2017-03-31,4365.79,Active
A000240,C00146,B008,Current Account,2024-12-06,0,Active
A000241,C00147,B007,Current Account,2016-07-25,49862.52,Active
A000242,C00147,B002,Investment Account,2020-02-02,34430.34,Active
A000243,C00148,B003,Investment Account,2017-12-10,0,Active
A000244,C00149,B003,Investment Account,2021-01-09,188733.01,Closed
A000245,C00149,B009,Investment Account,2021-03-26,135081.97,Active
A000246,C00149,B002,Current Account,2023-01-15,92211.84,Active
A000247,C00150,B009,Current Account,2019-01-16,11400.28,Active
A000248,C00150,B010,Savings Account,2018-11-02,17738.4,Active
A000249,C00150,B001,Savings Account,2019-06-05,52168.58,Active
A000250,C00151,B002,Savings Account,2017-11-29,989.17,Active
A000251,C00152,B009,Savings Account,2018-03-26,1421.47,Active
A000252,C00152,B001,Investment Account,2017-06-24,1121.98,Active
A000253,C00153,B003,Business Account,2016-10-26,9903.17,Active
A000254,C00153,B003,Savings Account,2019-03-13,10881.86,Active
A000255,C00154,B009,Business Account,2019-10-14,12149.04,Active
A000256,C00155,B001,Savings Account,2020-07-21,31025.83,Dormant
A000257,C00156,B010,Savings Account,2017-09-20,2415.72,Active
A000258,C00156,B007,Current Account,2020-05-26,4292.17,Active
A000259,C00157,B003,Current Account,2023-01-05,261891.59,Active
A000260,C00157,B006,Current Account,2020-07-03,9114.29,Active
A000261,C00157,B009,Current Account,2019-12-18,139902.04,Active
A000262,C00158,B010,Current Account,2019-10-16,25264.92,Active
A000263,C00158,B007,Business Account,2021-07-26,0,Active
A000264,C00158,B004,Savings Account,2024-04-25,17709.48,Active
A000265,C00159,B001,Current Account,2020-11-29,6411.71,Active
A000266,C00160,B008,Savings Account,2018-11-16,0,Active
A000267,C00161,B005,Savings Account,2021-02-25,8932.84,Active
A000268,C00162,B009,Current Account,2021-09-19,58957.59,Active
A000269,C00162,B009,Savings Account,2024-01-26,27295.77,Active
A000270,C00163,B010,Savings Account,2018-09-30,4713.77,Active
A000271,C00164,B002,Current Account,2018-02-05,1619.36,Active
A000272,C00165,B006,Savings Account,2022-02-04,12232.27,Active
A000273,C00166,B001,Savings Account,2022-05-07,32484.92,Active
A000274,C00166,B006,Current Account,2020-12-14,22734.92,Dormant
A000275,C00166,B008,Business Account,2021-01-28,0,Active
A000276,C00167,B006,Current Account,2023-02-03,1076.08,Active
A000277,C00168,B006,Savings Account,2021-01-20,2262.55,Active
A000278,C00169,B001,Investment Account,2021-07-03,12426.31,Active
A000279,C00170,B003,Current Account,2021-02-08,0,Active
A000280,C00171,B008,Savings Account,2020-12-14,0,Active
A000281,C00172,B009,Current Account,2019-09-18,42362.29,Active
A000282,C00172,B005,Current Account,2024-06-21,11339.19,Active
A000283,C00172,B007,Current Account,2016-04-10,22189.97,Active
A000284,C00173,B005,Savings Account,2016-07-15,28116.64,Active
A000285,C00173,B004,Current Account,2024-06-10,10608.07,Active
A000286,C00173,B008,Current Account,2016-07-19,40992.02,Active
A000287,C00174,B002,Business Account,2020-11-09,339.65,Active
A000288,C00174,B007,Current Account,2018-08-18,281.72,Dormant
A000289,C00175,B004,Savings Account,2023-08-13,7506.9,Active
A000290,C00176,B008,Business Account,2022-12-27,22620.91,Active
A000291,C00177,B004,Savings Account,2021-09-15,31378.84,Active
A000292,C00177,B005,Savings Account,2020-10-14,33749.05,Active
A000293,C00178,B009,Current Account,2024-03-22,64553.73,Active
A000294,C00179,B001,Savings Account,2024-11-06,38752.32,Active
A000295,C00180,B001,Investment Account,2019-12-20,3471.62,Active
A000296,C00181,B006,Current Account,2021-09-20,1219.66,Active
A000297,C00182,B006,Savings Account,2022-05-27,1971.62,Active
A000298,C00183,B003,Savings Account,2024-01-28,895.29,Active
A000299,C00184,B007,Savings Account,2021-10-21,24148.47,Active
A000300,C00184,B010,Savings Account,2022-06-06,24512.0,Dormant
A000301,C00184,B006,Savings Account,2018-08-01,10196.87,Active
A000302,C00185,B010,Investment Account,2020-06-21,44282.34,Active
A000303,C00186,B009,Current Account,2021-07-23,79535.72,Active
A000304,C00186,B009,Current Account,2018-08-16,32858.13,Active
A000305,C00187,B007,Savings Account,2023-12-31,4958.68,Active
A000306,C00188,B008,Business Account,2017-12-17,45866.58,Active
A000307,C00188,B006,Investment Account,2016-10-31,50085.35,Active
A000308,C00189,B007,Savings Account,2022-10-13,8470.51,Active
A000309,C00190,B006,Current Account,2019-12-12,7118.8,Dormant
A000310,C00190,B006,Savings Account,2017-09-26,3854.8,Active
A000311,C00191,B004,Savings Account,2019-02-05,7045.92,Active
A000312,C00192,B002,Investment Account,2018-11-19,2866.02,Closed
A000313,C00193,B008,Savings Account,2024-02-25,7582.78,Active
A000314,C00193,B006,Savings Account,2020-12-12,12086.61,Active
A000315,C00194,B008,Investment Account,2020-08-12,2487.25,Active
A000316,C00195,B003,Current Account,2019-05-21,8252.88,Active
A000317,C00196,B003,Savings Account,2021-11-29,40782.37,Active
A000318,C00196,B006,Current Account,2017-08-09,280658.43,Active
A000319,C00196,B010,Savings Account,2019-11-16,163025.33,Active
A000320,C00197,B001,Current Account,2021-08-17,2763.28,Active
A000321,C00198,B007,Business Account,2017-11-03,7419.99,Active
A000322,C00199,B003,Investment Account,2023-08-24,22907.65,Active
A000323,C00199,B010,Investment Account,2017-10-07,52251.11,Active
A000324,C00199,B005,Savings Account,2018-06-11,30756.2,Dormant
A000325,C00200,B001,Investment Account,2019-02-09,1071.7,Active
A000326,C00201,B009,Business Account,2022-04-11,11462.74,Dormant
A000327,C00201,B003,Current Account,2022-09-28,125.42,Active
A000328,C00202,B006,Savings Account,2017-10-20,7608.29,Active
A000329,C00203,B003,Savings Account,2019-08-20,19875.47,Active
A000330,C00203,B008,Business Account,2019-05-27,46257.92,Dormant
A000331,C00203,B006,Investment Account,2023-11-01,29210.35,Active
A000332,C00204,B007,Current Account,2020-07-12,13162.36,Active
A000333,C00204,B004,Current Account,2020-08-24,0,Active
A000334,C00205,B010,Savings Account,2021-06-24,21726.57,Active
A000335,C00206,B001,Current Account,2016-09-30,7206.74,Active
A000336,C00206,B009,Current Account,2024-11-10,13384.86,Active
A000337,C00207,B003,Current Account,2017-01-15,8763.08,Active
A000338,C00208,B008,Savings Account,2020-08-04,0,Active
A000339,C00209,B003,Savings Account,2023-07-11,1610.62,Active
A000340,C00210,B001,Current Account,2024-01-15,12948.1,Dormant
A000341,C00211,B007,Savings Account,2023-11-11,0,Active
A000342,C00212,B007,Current Account,2021-11-22,55608.47,Active
A000343,C00212,B004,Savings Account,2019-06-03,146937.41,Active
A000344,C00212,B001,Business Account,2016-12-22,46709.12,Active
A000345,C00213,B007,Savings Account,2024-04-21,154.67,Active
A000346,C00213,B008,Business Account,2023-04-25,8307.25,Active
A000347,C00214,B010,Savings Account,2017-03-15,13607.03,Active
A000348,C00214,B006,Current Account,2019-02-11,37183.58,Active
A000349,C00215,B006,Savings Account,2022-07-09,340929.96,Active
A000350,C00215,B007,Current Account,2018-03-29,158510.96,Active
A000351,C00216,B005,Savings Account,2020-01-03,21174.41,Active
A000352,C00216,B002,Current Account,2019-09-13,7688.9,Active
A000353,C00216,B006,Current Account,2016-04-17,19261.21,Active
A000354,C00217,B007,Savings Account,2023-08-24,42405.62,Active
A000355,C00217,B006,Current Account,2019-12-19,0,Active
A000356,C00218,B005,Current Account,2018-07-02,4141.1,Active
A000357,C00218,B001,Savings Account,2022-06-16,9770.29,Active
A000358,C00219,B003,Current Account,2021-07-26,52010.91,Active
A000359,C00219,B008,Current Account,2020-12-27,35123.2,Dormant
A000360,C00220,B009,Investment Account,2019-01-28,1002.91,Active
A000361,C00221,B008,Savings Account,2021-03-31,21113.8,Active
A000362,C00222,B007,Current Account,2019-05-24,26802.87,Active
A000363,C00223,B006,Investment Account,2019-07-06,30080.59,Active
A000364,C00223,B003,Savings Account,2017-09-27,33609.76,Active
A000365,C00224,B002,Business Account,2019-03-15,1193.55,Active
A000366,C00224,B005,Business Account,2023-02-09,855.27,Active
A000367,C00225,B010,Savings Account,2020-10-23,5851.05,Active
A000368,C00225,B006,Current Account,2017-11-14,5869.4,Active
A000369,C00226,B004,Current Account,2016-09-25,1247.25,Active
A000370,C00227,B002,Current Account,2022-05-28,35612.49,Active
A000371,C00227,B005,Savings Account,2023-03-10,48945.36,Active
A000372,C00227,B007,Savings Account,2017-10-19,51493.1,Active
A000373,C00228,B010,Investment Account,2023-09-04,5667.95,Active
A000374,C00228,B009,Savings Account,2024-02-01,6294.78,Active
A000375,C00229,B004,Savings Account,2024-10-09,25769.01,Active
A000376,C00230,B007,Savings Account,2016-10-05,131096.77,Active
A000377,C00230,B007,Current Account,2020-08-27,11702.9,Dormant
A000378,C00230,B007,Investment Account,2021-09-02,58887.76,Active
A000379,C00231,B008,Investment Account,2022-03-29,125404.16,Active
A000380,C00231,B008,Current Account,2023-04-01,173200.29,Active
A000381,C00231,B006,Current Account,2020-09-25,122845.09,Active
A000382,C00232,B008,Current Account,2018-04-06,2403.66,Active
A000383,C00233,B003,Investment Account,2020-02-11,20459.5,Active
A000384,C00234,B007,Savings Account,2023-07-24,48478.49,Active
A000385,C00235,B005,Savings Account,2021-07-30,5995.44,Active
A000386,C00235,B006,Current Account,2019-03-13,2594.34,Active
A000387,C00236,B001,Current Account,2020-02-18,84835.59,Active
A000388,C00236,B001,Savings Account,2024-11-06,78047.46,Active
A000389,C00237,B009,Savings Account,2016-10-15,5634.86,Active
A000390,C00238,B005,Savings Account,2021-04-22,14541.43,Active
A000391,C00238,B001,Current Account,2019-07-07,56896.43,Active
A000392,C00239,B006,Savings Account,2017-08-25,195915.02,Active
A000393,C00239,B009,Current Account,2019-08-21,84684.32,Active
A000394,C00239,B006,Current Account,2021-09-01,143728.0,Active
A000395,C00240,B004,Savings Account,2021-10-08,10380.85,Active
A000396,C00241,B010,Current Account,2024-12-02,20224.19,Active
A000397,C00241,B002,Investment Account,2019-06-05,30116.74,Active
A000398,C00242,B007,Business Account,2021-04-14,72775.79,Active
A000399,C00242,B004,Current Account,2018-12-23,170698.24,Active
A000400,C00242,B007,Savings Account,2021-12-09,53852.22,Active
A000401,C00243,B006,Savings Account,2019-09-05,61970.34,Active
A000402,C00243,B010,Savings Account,2019-11-23,68393.58,Active
A000403,C00243,B001,Business Account,2018-07-20,125296.32,Active
A000404,C00243,B007,Investment Account,2020-09-09,66864.41,Active
A000405,C00244,B003,Savings Account,2019-11-16,7877.08,Active
A000406,C00244,B003,Investment Account,2019-04-14,12601.75,Active
A000407,C00245,B005,Current Account,2024-05-06,287.32,Active
A000408,C00246,B008,Business Account,2020-07-24,1902.62,Active
A000409,C00247,B002,Business Account,2023-03-20,0,Active
A000410,C00247,B003,Savings Account,2022-01-22,10100.39,Active
A000411,C00248,B005,Savings Account,2022-06-07,947.51,Active
A000412,C00249,B003,Current Account,2016-05-10,0,Active
A000413,C00249,B008,Business Account,2016-04-24,41906.35,Active
A000414,C00249,B002,Investment Account,2019-04-12,0,Active
A000415,C00250,B005,Current Account,2022-05-28,8793.93,Closed
A000416,C00251,B003,Investment Account,2024-03-05,22747.66,Active
A000417,C00252,B001,Investment Account,2018-12-15,11187.19,Active
A000418,C00252,B009,Savings Account,2024-05-27,5756.7,Active
A000419,C00253,B008,Investment Account,2020-07-09,23606.0,Active
A000420,C00253,B002,Current Account,2019-06-14,55186.69,Active
A000421,C00254,B009,Current Account,2018-03-11,22487.46,Active
A000422,C00255,B003,Current Account,2019-06-20,27745.41,Active
A000423,C00255,B006,Current Account,2016-06-28,59560.71,Dormant
A000424,C00256,B006,Savings Account,2019-08-11,15073.16,Active
A000425,C00256,B003,Savings Account,2019-11-13,46034.65,Active
A000426,C00256,B006,Current Account,2021-05-06,57978.29,Active
A000427,C00257,B002,Current Account,2024-05-20,5897.53,Active
A000428,C00258,B006,Investment Account,2019-07-10,1282.94,Active
A000429,C00259,B009,Current Account,2020-01-05,157595.08,Active
A000430,C00259,B007,Business Account,2016-08-23,158652.06,Active
A000431,C00259,B005,Investment Account,2017-05-28,54373.32,Active
A000432,C00260,B006,Investment Account,2021-03-09,16632.09,Active
A000433,C00260,B003,Savings Account,2017-07-16,18051.09,Active
A000434,C00261,B001,Current Account,2021-04-12,1292.85,Active
A000435,C00261,B009,Business Account,2018-03-09,3027.69,Active
A000436,C00262,B008,Current Account,2023-06-03,22576.63,Active
A000437,C00262,B006,Business Account,2023-02-08,57968.07,Active
A000438,C00262,B002,Savings Account,2018-07-09,25688.14,Active
A000439,C00263,B004,Current Account,2021-03-23,9392.18,Active
A000440,C00264,B004,Current Account,2018-04-06,33294.47,Dormant
A000441,C00264,B003,Investment Account,2016-09-30,64878.44,Active
A000442,C00264,B002,Savings Account,2022-09-09,0,Active
A000443,C00265,B005,Current Account,2020-01-16,9638.14,Active
A000444,C00266,B001,Savings Account,2022-08-17,2552.58,Dormant
