flag_id,transaction_id,flag_date,flag_reason,severity,review_status
F0000063,T0001496,2025-12-18,High Frequency Transfers,High,Escalated
F0000064,T0001565,2025-06-18,Large Transaction,Medium,Open
F0000065,T0001588,2025-08-31,High Frequency Transfers,Medium,Cleared
F0000066,T0001595,2025-10-25,Unusual Location,Critical,Cleared
F0000067,T0001627,2025-08-21,High Frequency Transfers,High,Under Review
F0000068,T0001656,2025-04-29,High Frequency Transfers,High,Open
F0000069,T0001658,2025-11-15,Large Transaction,Medium,Cleared
F0000070,T0001669,2025-04-20,Large Transaction,High,Open
F0000071,T0001693,2025-02-17,Large Transaction,Medium,Open
F0000072,T0001695,2025-08-18,Unusual Location,High,Open
F0000073,T0001733,2025-05-10,High Frequency Transfers,High,Cleared
F0000074,T0001739,2025-03-14,International Transfer,Medium,Open
F0000075,T0001746,2025-03-03,Large Transaction,Medium,Cleared
F0000076,T0001777,2025-10-22,Possible AML Review,Critical,Cleared
F0000077,T0001791,2025-01-23,Unusual Location,Medium,Cleared
F0000078,T0001843,2025-04-24,International Transfer,High,Open
F0000079,T0001859,2025-10-08,Unusual Location,High,Open
F0000080,T0001876,2025-02-18,High Frequency Transfers,High,Cleared
F0000081,T0001905,2025-08-09,Large Transaction,High,Cleared
F0000082,T0001906,2025-03-17,Dormant Account Activity,Critical,Under Review
F0000083,T0001943,2025-03-24,Possible AML Review,Medium,Under Review
F0000084,T0001953,2025-08-24,International Transfer,Low,Cleared
F0000085,T0001954,2025-04-11,High Frequency Transfers,High,Open
F0000086,T0001978,2025-08-11,Dormant Account Activity,High,Open
F0000087,T0002020,2025-05-23,Possible AML Review,High,Under Review
F0000088,T0002030,2025-06-29,International Transfer,Medium,Escalated
F0000089,T0002032,2025-03-04,Dormant Account Activity,Medium,Under Review
F0000090,T0002049,2025-12-09,Large Transaction,Medium,Open
F0000091,T0002130,2025-02-03,High Frequency Transfers,Medium,Escalated
F0000092,T0002161,2025-12-10,Large Transaction,Medium,Open
F0000093,T0002190,2025-06-17,Unusual Location,Low,Under Review
F0000094,T0002200,2025-03-16,International Transfer,Medium,Open
F0000095,T0002236,2025-09-05,High Frequency Transfers,Medium,Under Review
F0000096,T0002264,2025-05-24,International Transfer,Low,Under Review
F0000097,T0002285,2025-10-22,Dormant Account Activity,High,Under Review
F0000098,T0002287,2025-05-16,International Transfer,Medium,Open
F0000099,T0002302,2025-10-19,Possible AML Review,High,Cleared
F0000100,T0002361,2025-08-05,Large Transaction,Medium,Under Review
F0000101,T0002362,2025-12-18,Unusual Location,High,Under Review
F0000102,T0002396,2025-07-01,Dormant Account Activity,High,Cleared
F0000103,T0002461,2025-04-02,Possible AML Review,Medium,Open
F0000104,T0002472,2025-11-21,Large Transaction,High,Under Review
F0000105,T0002477,2025-03-15,Unusual Location,High,Cleared
F0000106,T0002490,2025-10-22,International Transfer,Low,Open
F0000107,T0002496,2025-03-02,Possible AML Review,High,Open
F0000108,T0002506,2025-07-29,High Frequency Transfers,High,Cleared
F0000109,T0002529,2025-12-14,International Transfer,Medium,Cleared
F0000110,T0002536,2025-10-30,International Transfer,Low,Escalated
F0000111,T0002574,2025-08-13,Unusual Location,Medium,Escalated
F0000112,T0002576,2025-04-05,International Transfer,Medium,Open
F0000113,T0002585,2025-05-18,Unusual Location,High,Escalated
F0000114,T0002604,2025-01-26,International Transfer,Medium,Under Review
F0000115,T0002667,2025-02-03,Large Transaction,Medium,Under Review
F0000116,T0002704,2025-05-02,Unusual Location,Low,Under Review
F0000117,T0002721,2025-06-24,International Transfer,High,Cleared
F0000118,T0002765,2025-02-20,Unusual Location,Medium,Open
F0000119,T0002788,2025-02-11,High Frequency Transfers,Critical,Escalated
F0000120,T0002804,2025-10-12,High Frequency Transfers,High,Cleared
F0000121,T0002835,2025-05-09,Large Transaction,Medium,Open
F0000122,T0002850,2025-12-07,High Frequency Transfers,Critical,Cleared
F0000123,T0002869,2025-04-15,High Frequency Transfers,Medium,Cleared
F0000124,T0002906,2025-05-29,International Transfer,Medium,Under Review
F0000125,T0002916,2025-10-28,Unusual Location,Medium,Open
F0000126,T0002940,2025-05-07,Dormant Account Activity,Low,Under Review
F0000127,T0002965,2025-01-15,International Transfer,High,Under Review
F0000128,T0003007,2025-09-29,High Frequency Transfers,Medium,Cleared
F0000129,T0003093,2025-12-27,International Transfer,Medium,Open
F0000130,T0003103,2025-12-18,Unusual Location,Medium,Under Review
F0000131,T0003150,2025-10-05,Large Transaction,High,Cleared
F0000132,T0003163,2025-10-01,High Frequency Transfers,Medium,Open
F0000133,T0003180,2025-02-12,International Transfer,Medium,Under Review
F0000134,T0003188,2025-10-13,Large Transaction,High,Open
F0000135,T0003195,2025-11-22,Large Transaction,High,Under Review
F0000136,T0003212,2025-03-17,Large Transaction,Medium,Open
F0000137,T0003238,2025-01-04,High Frequency Transfers,High,Escalated
F0000138,T0003239,2025-06-25,Large Transaction,Medium,Cleared
F0000139,T0003264,2025-02-12,Unusual Location,High,Cleared
F0000140,T0003311,2025-03-24,High Frequency Transfers,Medium,Under Review
F0000141,T0003318,2025-06-22,International Transfer,High,Cleared
F0000142,T0003348,2025-06-12,International Transfer,High,Cleared
F0000143,T0003457,2025-04-26,Possible AML Review,Medium,Cleared
F0000144,T0003473,2025-10-07,Unusual Location,Medium,Escalated
F0000145,T0003499,2025-03-25,Possible AML Review,High,Cleared
F0000146,T0003502,2025-11-02,Large Transaction,Medium,Open
F0000147,T0003515,2025-09-18,High Frequency Transfers,Medium,Under Review
F0000148,T0003543,2025-12-30,International Transfer,High,Under Review
F0000149,T0003546,2025-12-31,Large Transaction,Critical,Open
F0000150,T0003561,2025-04-01,Large Transaction,Medium,Cleared
F0000151,T0003578,2025-04-25,Possible AML Review,High,Under Review
F0000152,T0003632,2025-02-17,Large Transaction,Medium,Open
F0000153,T0003674,2025-05-16,Large Transaction,Critical,Under Review
F0000154,T0003677,2025-06-25,Unusual Location,Medium,Under Review
F0000155,T0003685,2025-07-14,Unusual Location,Low,Open
F0000156,T0003691,2025-09-15,Unusual Location,Medium,Open
F0000157,T0003764,2025-01-19,Unusual Location,Medium,Under Review
F0000158,T0003787,2025-03-10,International Transfer,High,Under Review
F0000159,T0003812,2025-03-09,Possible AML Review,High,Under Review
F0000160,T0003825,2025-10-03,Unusual Location,Medium,Cleared
F0000161,T0003895,2025-03-01,Large Transaction,Critical,Under Review
F0000162,T0003906,2025-12-12,Possible AML Review,High,Cleared
F0000163,T0003915,2025-08-24,Large Transaction,High,Open
F0000164,T0003946,2025-04-08,Unusual Location,Medium,Open
F0000165,T0003962,2025-04-30,Large Transaction,Critical,Cleared
F0000166,T0003964,2025-04-04,Large Transaction,Medium,Cleared
F0000167,T0003980,2025-12-26,Possible AML Review,Medium,Cleared
F0000168,T0003981,2025-03-07,Possible AML Review,High,Escalated
F0000169,T0003986,2025-11-21,International Transfer,High,Cleared
F0000170,T0003990,2025-04-30,High Frequency Transfers,High,Open
F0000171,T0004004,2025-07-11,International Transfer,Low,Open
F0000172,T0004008,2025-11-12,International Transfer,Medium,Cleared
F0000173,T0004028,2025-09-29,High Frequency Transfers,High,Cleared
F0000174,T0004048,2025-09-04,Unusual Location,Medium,Under Review
F0000175,T0004123,2025-01-11,Large Transaction,Critical,Cleared
F0000176,T0004127,2025-05-06,Dormant Account Activity,Critical,Open
F0000177,T0004147,2025-03-07,International Transfer,Critical,Cleared
F0000178,T0004149,2025-07-20,High Frequency Transfers,Critical,Cleared
F0000179,T0004151,2025-12-10,High Frequency Transfers,Low,Under Review
F0000180,T0004239,2025-12-12,Possible AML Review,High,Cleared
F0000181,T0004276,2025-05-16,Large Transaction,High,Cleared
F0000182,T0004283,2025-03-12,Large Transaction,Medium,Open
F0000183,T0004291,2025-01-03,High Frequency Transfers,Medium,Escalated
F0000184,T0004304,2025-10-05,Unusual Location,Low,Cleared
F0000185,T0004305,2025-12-09,High Frequency Transfers,High,Cleared
F0000186,T0004341,2025-08-09,Large Transaction,Medium,Cleared
F0000187,T0004380,2025-10-13,High Frequency Transfers,Medium,Cleared
F0000188,T0004387,2025-07-25,Unusual Location,High,Cleared
F0000189,T0004393,2025-07-05,Large Transaction,Medium,Escalated
F0000190,T0004408,2025-02-18,Possible AML Review,High,Open
F0000191,T0004442,2025-07-11,International Transfer,Critical,Cleared
F0000192,T0004486,2025-09-29,International Transfer,Medium,Cleared
F0000193,T0004498,2025-12-23,Large Transaction,Low,Cleared
F0000194,T0004500,2025-08-24,Possible AML Review,High,Cleared
F0000195,T0004512,2025-05-10,High Frequency Transfers,Medium,Escalated
F0000196,T0004519,2025-10-30,Dormant Account Activity,Critical,Cleared
F0000197,T0004547,2025-08-26,Unusual Location,Medium,Open
F0000198,T0004555,2025-04-03,International Transfer,Medium,Escalated
F0000199,T0004559,2025-04-16,International Transfer,Low,Escalated
F0000200,T0004566,2025-11-10,Dormant Account Activity,High,Cleared
F0000201,T0004592,2025-10-02,Dormant Account Activity,Low,Escalated
F0000202,T0004656,2025-12-10,High Frequency Transfers,High,Under Review
F0000203,T0004664,2025-06-29,International Transfer,Critical,Cleared
F0000204,T0004666,2025-07-30,International Transfer,Medium,Open
F0000205,T0004728,2025-08-10,High Frequency Transfers,High,Under Review
F0000206,T0004749,2025-05-25,Large Transaction,Medium,Escalated
F0000207,T0004754,2025-05-09,High Frequency Transfers,Medium,Open
F0000208,T0004828,2025-06-19,Unusual Location,Critical,Cleared
F0000209,T0004846,2025-03-11,Unusual Location,Low,Escalated
F0000210,T0004861,2025-06-16,International Transfer,High,Escalated
F0000211,T0004893,2025-08-26,High Frequency Transfers,High,Under Review
F0000212,T0004906,2025-11-06,High Frequency Transfers,High,Cleared
F0000213,T0004917,2025-02-15,Dormant Account Activity,High,Open
F0000214,T0004919,2025-01-03,High Frequency Transfers,Medium,Escalated
F0000215,T0004987,2025-08-23,Large Transaction,Medium,Under Review
F0000216,T0004991,2025-02-10,Large Transaction,High,Under Review
F0000217,T0005015,2025-12-09,Large Transaction,Medium,Under Review
F0000218,T0005031,2025-05-24,Dormant Account Activity,Low,Escalated
F0000219,T0005058,2025-07-23,Large Transaction,High,Escalated
F0000220,T0005065,2025-08-15,High Frequency Transfers,High,Under Review
F0000221,T0005082,2025-09-07,Large Transaction,Medium,Cleared
F0000222,T0005099,2025-09-09,International Transfer,Medium,Cleared
F0000223,T0005114,2025-11-18,Unusual Location,Medium,Open
F0000224,T0005124,2025-08-05,Large Transaction,Medium,Cleared
F0000225,T0005147,2025-02-01,High Frequency Transfers,Medium,Open
F0000226,T0005148,2025-01-10,International Transfer,Low,Under Review
F0000227,T0005168,2025-12-09,Dormant Account Activity,Medium,Cleared
F0000228,T0005177,2025-07-18,International Transfer,Low,Escalated
F0000229,T0005187,2025-12-28,Possible AML Review,High,Cleared
F0000230,T0005189,2025-04-28,Possible AML Review,Critical,Open
F0000231,T0005201,2025-05-25,High Frequency Transfers,Critical,Open
F0000232,T0005216,2025-11-21,Large Transaction,Medium,Open
F0000233,T0005220,2025-03-03,Possible AML Review,Medium,Open
F0000234,T0005259,2025-01-19,Large Transaction,Medium,Open
F0000235,T0005261,2025-10-21,Large Transaction,Medium,Under Review
F0000236,T0005265,2025-08-24,Dormant Account Activity,High,Under Review
F0000237,T0005274,2025-12-22,Possible AML Review,Medium,Open
F0000238,T0005307,2025-07-23,Large Transaction,Medium,Under Review
F0000239,T0005314,2025-02-03,Possible AML Review,Medium,Open
F0000240,T0005349,2025-12-17,Possible AML Review,High,Cleared
F0000241,T0005360,2025-07-02,Dormant Account Activity,High,Open
F0000242,T0005369,2025-10-28,Dormant Account Activity,Medium,Cleared
F0000243,T0005396,2025-01-13,International Transfer,Medium,Cleared
F0000244,T0005427,2025-08-09,International Transfer,Low,Escalated
F0000245,T0005453,2025-08-24,Unusual Location,Medium,Open
F0000246,T0005574,2025-03-19,Dormant Account Activity,High,Cleared
F0000247,T0005578,2025-02-05,International Transfer,High,Open
F0000248,T0005595,2025-03-03,Large Transaction,Critical,Under Review
F0000249,T0005608,2025-03-27,Large Transaction,High,Cleared
F0000250,T0005626,2025-04-26,Large Transaction,High,Cleared
F0000251,T0005634,2025-11-06,International Transfer,High,Cleared
F0000252,T0005635,2025-06-24,Possible AML Review,Critical,Open
F0000253,T0005649,2025-06-26,Possible AML Review,High,Open
F0000254,T0005654,2025-09-24,Unusual Location,High,Under Review
F0000255,T0005659,2025-02-19,Possible AML Review,High,Under Review
F0000256,T0005677,2025-01-22,High Frequency Transfers,Medium,Escalated
F0000257,T0005690,2025-07-28,Dormant Account Activity,High,Under Review
F0000258,T0005707,2025-12-10,Unusual Location,High,Open
F0000259,T0005788,2025-11-16,International Transfer,Medium,Escalated
F0000260,T0005804,2025-06-01,International Transfer,Low,Open
F0000261,T0005831,2025-10-27,High Frequency Transfers,High,Escalated
F0000262,T0005866,2025-09-14,International Transfer,Medium,Cleared
F0000263,T0005876,2025-08-29,Dormant Account Activity,High,Cleared
F0000264,T0005886,2025-03-17,Unusual Location,Medium,Under Review
F0000265,T0005920,2025-12-14,Possible AML Review,Critical,Escalated
F0000266,T0005928,2025-10-07,Possible AML Review,Medium,Cleared
F0000267,T0005930,2025-11-02,International Transfer,High,Cleared
F0000268,T0005975,2025-10-18,Large Transaction,Medium,Cleared
F0000269,T0005976,2025-12-17,Large Transaction,Medium,Cleared
F0000270,T0006003,2025-01-13,Unusual Location,Medium,Open
F0000271,T0006018,2025-12-03,Possible AML Review,High,Cleared
F0000272,T0006030,2025-09-24,High Frequency Transfers,High,Open
F0000273,T0006036,2025-09-25,International Transfer,Low,Open
F0000274,T0006045,2025-11-05,International Transfer,High,Escalated
F0000275,T0006057,2025-03-01,High Frequency Transfers,High,Escalated
F0000276,T0006070,2025-09-16,Large Transaction,Medium,Cleared
F0000277,T0006096,2025-09-27,Possible AML Review,High,Escalated
F0000278,T0006110,2025-04-14,International Transfer,Medium,Under Review
F0000279,T0006118,2025-06-10,Unusual Location,Low,Under Review
F0000280,T0006134,2025-04-21,Possible AML Review,Medium,Under Review
F0000281,T0006157,2025-04-28,Unusual Location,Medium,Cleared
F0000282,T0006185,2025-08-08,Dormant Account Activity,High,Escalated
F0000283,T0006191,2025-11-28,Dormant Account Activity,High,Open
F0000284,T0006235,2025-03-11,High Frequency Transfers,Low,Under Review
F0000285,T0006243,2025-12-23,Large Transaction,High,Under Review
F0000286,T0006250,2025-01-30,Large Transaction,High,Cleared
F0000287,T0006265,2025-08-15,High Frequency Transfers,High,Under Review
F0000288,T0006275,2025-04-03,Large Transaction,Low,Cleared
F0000289,T0006312,2025-09-03,International Transfer,Critical,Cleared
F0000290,T0006313,2025-09-21,International Transfer,Low,Cleared
F0000291,T0006344,2025-03-23,International Transfer,High,Cleared
F0000292,T0006361,2025-01-08,Dormant Account Activity,Low,Under Review
F0000293,T0006373,2025-02-06,Large Transaction,High,Under Review
F0000294,T0006410,2025-11-13,Unusual Location,Critical,Under Review
F0000295,T0006411,2025-07-11,International Transfer,Low,Open
F0000296,T0006419,2025-06-27,International Transfer,High,Escalated
F0000297,T0006425,2025-04-16,Possible AML Review,Medium,Escalated
F0000298,T0006436,2025-01-05,International Transfer,Critical,Open
F0000299,T0006438,2025-03-13,Unusual Location,Medium,Under Review
F0000300,T0006442,2025-09-16,High Frequency Transfers,Medium,Cleared
F0000301,T0006483,2025-07-26,International Transfer,Medium,Under Review
F0000302,T0006502,2025-12-03,Possible AML Review,High,Open
F0000303,T0006511,2025-03-29,Unusual Location,Low,Cleared
F0000304,T0006538,2025-04-23,High Frequency Transfers,High,Under Review
F0000305,T0006576,2025-06-17,International Transfer,Medium,Open
F0000306,T0006651,2025-12-18,Unusual Location,Medium,Open
F0000307,T0006687,2025-04-03,International Transfer,Medium,Open
F0000308,T0006704,2025-04-26,Unusual Location,Medium,Cleared
F0000309,T0006717,2025-10-21,Large Transaction,Medium,Under Review
F0000310,T0006733,2025-07-21,Large Transaction,Medium,Under Review
F0000311,T0006738,2025-07-21,International Transfer,Medium,Cleared
F0000312,T0006774,2025-11-10,Possible AML Review,Critical,Cleared
F0000313,T0006786,2025-01-06,Large Transaction,Medium,Cleared
F0000314,T0006792,2025-02-28,International Transfer,Medium,Open
F0000315,T0006821,2025-03-26,High Frequency Transfers,Medium,Open
F0000316,T0006847,2025-09-30,Large Transaction,Medium,Under Review
F0000317,T0006851,2025-11-16,Possible AML Review,High,Under Review
F0000318,T0006924,2025-07-15,International Transfer,Low,Under Review
F0000319,T0006928,2025-01-29,High Frequency Transfers,High,Escalated
F0000320,T0006945,2025-08-27,Possible AML Review,High,Cleared
F0000321,T0006961,2025-06-17,Large Transaction,Medium,Open
F0000322,T0007007,2025-06-16,International Transfer,High,Open
F0000323,T0007035,2025-06-13,Unusual Location,Critical,Cleared
F0000324,T0007037,2025-08-13,Possible AML Review,Critical,Under Review
F0000325,T0007067,2025-03-14,High Frequency Transfers,Medium,Open
F0000326,T0007068,2025-08-07,International Transfer,High,Cleared
F0000327,T0007074,2025-11-10,Large Transaction,Medium,Cleared
F0000328,T0007097,2025-06-09,Large Transaction,Low,Under Review
F0000329,T0007107,2025-10-22,Large Transaction,Low,Escalated
F0000330,T0007138,2025-11-11,Unusual Location,High,Cleared
F0000331,T0007155,2025-08-24,High Frequency Transfers,Critical,Cleared
F0000332,T0007159,2025-11-10,Large Transaction,Low,Escalated
F0000333,T0007164,2025-04-23,High Frequency Transfers,Critical,Under Review
F0000334,T0007202,2025-01-20,Possible AML Review,Critical,Open
F0000335,T0007208,2025-11-12,High Frequency Transfers,Medium,Cleared
F0000336,T0007219,2025-08-21,Unusual Location,High,Cleared
F0000337,T0007229,2025-11-16,Dormant Account Activity,High,Cleared
F0000338,T0007307,2025-04-23,Dormant Account Activity,Critical,Open
F0000339,T0007318,2025-05-07,High Frequency Transfers,High,Cleared
F0000340,T0007320,2025-08-19,High Frequency Transfers,Medium,Under Review
F0000341,T0007371,2025-06-20,High Frequency Transfers,Medium,Under Review
F0000342,T0007403,2025-03-08,Large Transaction,High,Under Review
F0000343,T0007407,2025-05-11,Large Transaction,Medium,Cleared
F0000344,T0007415,2025-12-25,Dormant Account Activity,Critical,Open
F0000345,T0007454,2025-12-13,Unusual Location,Critical,Cleared
F0000346,T0007484,2025-09-26,High Frequency Transfers,Critical,Cleared
F0000347,T0007492,2025-01-04,Large Transaction,Low,Cleared
F0000348,T0007514,2025-05-18,Unusual Location,Medium,Cleared
F0000349,T0007571,2025-12-19,International Transfer,Low,Escalated
F0000350,T0007659,2025-01-15,Dormant Account Activity,Medium,Cleared
F0000351,T0007666,2025-07-25,Large Transaction,Medium,Cleared
F0000352,T0007669,2025-12-31,International Transfer,High,Open
F0000353,T0007687,2025-09-12,Large Transaction,Medium,Under Review
F0000354,T0007797,2025-04-08,Possible AML Review,Critical,Cleared
F0000355,T0007826,2025-01-23,Unusual Location,Medium,Cleared
F0000356,T0007832,2025-12-10,High Frequency Transfers,High,Under Review
F0000357,T0007865,2025-10-31,International Transfer,Medium,Under Review
F0000358,T0007897,2025-01-18,Unusual Location,High,Under Review
F0000359,T0007899,2025-04-06,International Transfer,Medium,Open
F0000360,T0007923,2025-05-28,International Transfer,High,Cleared
F0000361,T0007926,2025-12-14,High Frequency Transfers,High,Open
F0000362,T0007938,2025-07-26,Large Transaction,Medium,Cleared
F0000363,T0007947,2025-02-17,Large Transaction,Medium,Open
F0000364,T0007977,2025-10-18,Large Transaction,Medium,Cleared
F0000365,T0007981,2025-05-28,Unusual Location,Low,Cleared
F0000366,T0008000,2025-02-04,Large Transaction,Low,Escalated
F0000367,T0008005,2025-01-26,International Transfer,High,Cleared
F0000368,T0008037,2025-08-20,International Transfer,Medium,Cleared
F0000369,T0008056,2025-02-20,High Frequency Transfers,Critical,Open
F0000370,T0008071,2025-09-10,Unusual Location,Medium,Under Review
F0000371,T0008076,2025-04-10,High Frequency Transfers,High,Cleared
F0000372,T0008128,2025-01-21,High Frequency Transfers,High,Open
F0000373,T0008138,2025-01-31,Unusual Location,Low,Open
F0000374,T0008145,2025-10-03,Dormant Account Activity,Medium,Cleared
F0000375,T0008148,2025-04-17,High Frequency Transfers,Medium,Under Review
F0000376,T0008194,2025-04-25,International Transfer,Medium,Under Review
F0000377,T0008196,2025-11-05,Large Transaction,Critical,Cleared
F0000378,T0008202,2025-08-11,Dormant Account Activity,Medium,Under Review
F0000379,T0008206,2025-05-02,Large Transaction,Medium,Under Review
F0000380,T0008213,2025-01-05,Unusual Location,Low,Cleared
F0000381,T0008267,2025-03-11,Large Transaction,Medium,Under Review
F0000382,T0008275,2025-05-23,International Transfer,High,Escalated
F0000383,T0008280,2025-04-02,International Transfer,Medium,Cleared
F0000384,T0008310,2025-11-22,Large Transaction,Medium,Cleared
F0000385,T0008315,2025-02-16,High Frequency Transfers,Critical,Under Review
F0000386,T0008330,2025-05-15,Unusual Location,Medium,Escalated
F0000387,T0008375,2025-09-12,Possible AML Review,Critical,Cleared
F0000388,T0008384,2025-05-07,International Transfer,Critical,Cleared
F0000389,T0008399,2025-03-29,Possible AML Review,Critical,Cleared
F0000390,T0008430,2025-01-04,International Transfer,Low,Under Review
F0000391,T0008433,2025-05-28,Dormant Account Activity,High,Cleared
F0000392,T0008458,2025-01-02,Possible AML Review,Medium,Open
F0000393,T0008462,2025-02-20,High Frequency Transfers,Critical,Open
F0000394,T0008474,2025-11-18,Possible AML Review,Medium,Under Review
F0000395,T0008509,2025-12-15,International Transfer,Medium,Cleared
F0000396,T0008516,2025-11-14,International Transfer,Medium,Open
F0000397,T0008521,2025-07-05,International Transfer,Medium,Escalated
F0000398,T0008547,2025-12-06,High Frequency Transfers,Low,Cleared
F0000399,T0008566,2025-12-24,Possible AML Review,High,Cleared
F0000400,T0008578,2025-05-11,International Transfer,Low,Escalated
F0000401,T0008640,2025-04-02,High Frequency Transfers,Medium,Cleared
F0000402,T0008687,2025-02-14,International Transfer,Low,Cleared
F0000403,T0008769,2025-03-03,High Frequency Transfers,High,Escalated
F0000404,T0008789,2025-10-13,High Frequency Transfers,Medium,Under Review
F0000405,T0008801,2025-04-04,Dormant Account Activity,Critical,Under Review
F0000406,T0008818,2025-08-27,Possible AML Review,High,Open
F0000407,T0008856,2025-12-27,High Frequency Transfers,Medium,Cleared
F0000408,T0008885,2025-01-09,Large Transaction,Medium,Cleared
F0000409,T0008913,2025-05-30,Unusual Location,Medium,Open
F0000410,T0008923,2025-09-26,High Frequency Transfers,Critical,Cleared
F0000411,T0008924,2025-03-16,Dormant Account Activity,Low,Under Review
F0000412,T0008932,2025-11-26,Dormant Account Activity,Critical,Open
F0000413,T0008935,2025-09-02,Unusual Location,Low,Under Review
F0000414,T0009035,2025-10-25,Possible AML Review,Medium,Open
F0000415,T0009057,2025-07-29,International Transfer,Medium,Cleared
F0000416,T0009072,2025-06-30,Unusual Location,Medium,Under Review
F0000417,T0009087,2025-07-06,International Transfer,Medium,Cleared
F0000418,T0009092,2025-04-24,Large Transaction,Medium,Escalated
F0000419,T0009098,2025-04-24,Large Transaction,High,Under Review
F0000420,T0009113,2025-08-07,Large Transaction,Medium,Under Review
F0000421,T0009114,2025-06-04,Unusual Location,Medium,Open
F0000422,T0009138,2025-03-20,High Frequency Transfers,Medium,Open
F0000423,T0009215,2025-06-14,High Frequency Transfers,High,Cleared
F0000424,T0009220,2025-01-22,Unusual Location,Critical,Open
F0000425,T0009248,2025-04-17,Large Transaction,Low,Cleared
F0000426,T0009250,2025-11-10,High Frequency Transfers,Medium,Open
F0000427,T0009271,2025-06-10,Unusual Location,High,Under Review
F0000428,T0009286,2025-06-27,Possible AML Review,High,Under Review
F0000429,T0009318,2025-08-03,Unusual Location,Low,Cleared
